ticker,fiscal_date_ending,reported_date,reported_eps,estimated_eps,surprise,surprise_percentage,source,availability_date,point_in_time_usable,provider,validation_note
C,2017-09-30,2017-10-12,1.29,1.3,-0.01,-0.7692,AlphaVantage EARNINGS quarterlyEarnings,2017-10-12,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2017-06-30,2017-07-14,1.28,1.21,0.07,5.7851,AlphaVantage EARNINGS quarterlyEarnings,2017-07-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2017-03-31,2017-04-13,1.26,1.24,0.02,1.6129,AlphaVantage EARNINGS quarterlyEarnings,2017-04-13,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2016-12-31,2017-01-18,1.14,1.12,0.02,1.7857,AlphaVantage EARNINGS quarterlyEarnings,2017-01-18,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2016-09-30,2016-10-14,1.24,1.16,0.08,6.8966,AlphaVantage EARNINGS quarterlyEarnings,2016-10-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2016-06-30,2016-07-15,1.24,1.1,0.14,12.7273,AlphaVantage EARNINGS quarterlyEarnings,2016-07-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2016-03-31,2016-04-15,1.1,1.05,0.05,4.7619,AlphaVantage EARNINGS quarterlyEarnings,2016-04-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2015-12-31,2016-01-15,1.06,1.07,-0.01,-0.9346,AlphaVantage EARNINGS quarterlyEarnings,2016-01-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2015-09-30,2015-10-15,1.31,1.28,0.03,2.3438,AlphaVantage EARNINGS quarterlyEarnings,2015-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2015-06-30,2015-07-16,1.45,1.35,0.1,7.4074,AlphaVantage EARNINGS quarterlyEarnings,2015-07-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2015-03-31,2015-04-16,1.52,1.41,0.11,7.8014,AlphaVantage EARNINGS quarterlyEarnings,2015-04-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2014-12-31,2015-01-15,1.16,1.07,0.09,8.4112,AlphaVantage EARNINGS quarterlyEarnings,2015-01-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2014-09-30,2014-10-14,1.15,1.13,0.02,1.7699,AlphaVantage EARNINGS quarterlyEarnings,2014-10-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2014-06-30,2014-07-14,1.24,1.08,0.16,14.8148,AlphaVantage EARNINGS quarterlyEarnings,2014-07-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2014-03-31,2014-04-14,1.3,1.16,0.14,12.069,AlphaVantage EARNINGS quarterlyEarnings,2014-04-14,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2013-12-31,2014-03-03,0.82,0.98,-0.16,-16.3265,AlphaVantage EARNINGS quarterlyEarnings,2014-03-03,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2013-09-30,2013-10-15,1.02,1.09,-0.07,-6.422,AlphaVantage EARNINGS quarterlyEarnings,2013-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2013-06-30,2013-07-15,1.25,1.18,0.07,5.9322,AlphaVantage EARNINGS quarterlyEarnings,2013-07-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2013-03-31,2013-04-15,1.29,1.17,0.12,10.2564,AlphaVantage EARNINGS quarterlyEarnings,2013-04-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2012-12-31,2013-01-17,0.69,0.97,-0.28,-28.866,AlphaVantage EARNINGS quarterlyEarnings,2013-01-17,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2012-09-30,2012-10-15,1.06,0.99,0.07,7.0707,AlphaVantage EARNINGS quarterlyEarnings,2012-10-15,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2012-06-30,2012-07-16,1.0,0.89,0.11,12.3596,AlphaVantage EARNINGS quarterlyEarnings,2012-07-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2012-03-31,2012-04-16,1.11,1.0,0.11,11.0,AlphaVantage EARNINGS quarterlyEarnings,2012-04-16,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
C,2011-12-31,2012-01-17,0.38,0.59,-0.21,-35.5932,AlphaVantage EARNINGS quarterlyEarnings,2012-01-17,True,alpha_vantage,"availability_date = reported_date (filing/report timestamp, not fiscal end)"
