event_timestamp,point_in_time_available_at,ticker,fiscal_period,estimate_type,old_value,new_value,revision_direction,revision_magnitude,analyst_count,consensus_change,provider_id,raw_payload_path
2026-04-28,2026-04-28,MDLZ,2026-03-31,eps_surprise_acceleration_proxy,,,up,6.979,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1996-08-19,1996-08-19,MDT,1996-07-31,eps_surprise_acceleration_proxy,,,down,-7.6923,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1996-11-19,1996-11-19,MDT,1996-10-31,eps_surprise_acceleration_proxy,,,up,7.6923,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-02-18,1997-02-18,MDT,1997-01-31,eps_surprise_acceleration_proxy,,,down,-7.6923,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-05-22,1997-05-22,MDT,1997-04-30,eps_surprise_acceleration_proxy,,,up,6.6667,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-08-19,1997-08-19,MDT,1997-07-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1997-11-18,1997-11-18,MDT,1997-10-31,eps_surprise_acceleration_proxy,,,down,-6.6667,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-02-18,1998-02-18,MDT,1998-01-31,eps_surprise_acceleration_proxy,,,down,-6.25,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-05-26,1998-05-26,MDT,1998-04-30,eps_surprise_acceleration_proxy,,,up,6.25,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
1998-08-18,1998-08-18,MDT,1998-07-31,eps_surprise_acceleration_proxy,,,flat,0.0,,,PROXY_LOCAL,LOCAL_PROXY:phase3m/earnings_features_universe.csv
