date,ticker,is_bank,regime,fund_fiscal_period,fund_publish_date,fund_age_days,fund_stale,forward_excess_return_20d_vs_spy,gross_margin,operating_margin,net_margin,roa_ttm,revenue_growth_yoy,operating_income_growth_yoy,net_income_growth_yoy,debt_to_assets,liabilities_to_assets,equity_to_assets,current_ratio,cash_to_assets,ocf_to_assets,fcf_to_assets,earnings_yield_ttm,book_to_price,deposits_to_assets,loans_to_assets,quality_composite
2026-06-16,PG,False,risk_on,2025-Q3,2025-04-24,418,True,,0.50981,0.230481,0.190686,0.126001,-0.020748,0.021973,0.005064,0.277607,0.572754,,0.713472,0.074124,0.030118,0.023272,0.041481,0.140656,,,0.116166
2026-06-16,PH,False,risk_on,2025-Q3,2025-05-06,406,True,,0.368952,0.210685,0.19375,0.117324,-0.022536,0.068104,0.322646,0.324123,0.536624,,1.207085,0.014134,0.021786,0.0194,0.02774,0.109559,,,0.040666
2026-06-16,PLD,False,risk_on,2025-Q1,2025-04-29,413,True,,0.743374,0.38051,0.277124,0.039919,0.093551,0.228901,0.012358,0.336086,0.395006,,0.215113,0.006991,0.012092,-0.004474,0.02743,0.415708,,,0.131107
2026-06-16,PM,False,risk_on,2025-Q1,2025-04-24,418,True,,0.674121,0.381034,0.289216,0.116766,0.057773,0.163875,0.252328,0.761828,1.137156,,0.776437,0.068271,-0.005378,-0.011586,0.026516,-0.031146,,,-0.339756
2026-06-16,PYPL,False,risk_on,2025-Q1,2025-04-29,413,True,,0.52458,0.252471,0.165191,0.055934,0.01195,0.156379,0.449324,0.140475,0.750794,,1.300051,0.137941,0.014273,0.011886,0.104251,0.464474,,,-0.301102
2026-06-16,QCOM,False,risk_on,2025-Q2,2025-04-30,412,True,,0.550323,0.284179,0.256125,0.199397,0.169347,0.333333,0.208942,0.264087,0.499241,,2.709329,0.250054,0.046124,0.04226,0.046257,0.116168,,,0.659402
2026-06-16,REGN,False,risk_on,2025-Q1,2025-04-29,413,True,,0.8467,0.199425,0.267012,0.119837,-0.036979,-0.203691,0.120083,0.052864,0.217274,,7.105653,0.469453,0.027836,0.020604,0.06582,0.429907,,,0.399089
2026-06-16,ROP,False,risk_on,2025-Q1,2025-05-02,410,True,,0.687115,0.279265,0.175855,0.047691,0.120248,0.092458,-0.133246,0.237323,0.38815,,0.462202,0.011866,0.016828,0.016525,0.041053,0.526687,,,0.019235
2026-06-16,RTX,False,risk_on,2025-Q1,2025-04-22,420,True,,0.202699,0.10002,0.075593,0.027902,0.051852,0.355808,-0.101814,0.25051,0.61578,,1.005549,0.03128,0.007916,0.004804,0.01822,0.250891,,,-0.649289
2026-06-16,SBUX,False,risk_on,2025-Q2,2025-04-29,413,True,,0.687546,0.075112,0.04385,0.098915,0.023193,-0.361626,-0.502589,0.492263,1.240742,,0.411868,0.095204,0.009231,-0.009395,0.026994,-0.065698,,,-1.087266
2026-06-16,SCHW,True,risk_on,2025-Q1,2025-05-09,403,True,,,0.438471,0.340954,0.014018,0.181224,0.365406,0.401615,,0.893042,0.106958,,,0.013737,,0.037773,0.288205,0.531774,0.101795,0.052343
2026-06-16,SHW,False,risk_on,2025-Q1,2025-04-29,413,True,,0.48233,0.142564,0.094973,0.108788,-0.011477,0.037301,-0.002573,0.437423,0.832356,,0.766781,0.00811,-0.00248,-0.010164,0.032919,0.050728,,,-0.694285
2026-06-16,SLB,False,risk_on,2025-Q1,2025-04-25,417,True,,0.189164,0.166784,0.093875,0.085507,-0.024922,-0.043889,-0.253745,0.285743,0.576589,,1.236699,0.079527,0.013469,0.005347,0.057212,0.283301,,,-0.369632
2026-06-16,SNPS,False,risk_on,2025-Q2,2025-05-28,384,False,,0.801562,0.234641,0.21512,0.091047,0.102807,0.133567,0.181451,0.423069,0.582615,,7.332632,0.600421,0.011591,0.012378,0.030905,0.141678,,,-0.07392
2026-06-16,SPGI,False,risk_on,2025-Q1,2025-04-29,413,True,,0.694731,0.41488,0.288589,0.065989,0.081925,0.136331,0.099899,0.190202,0.370085,,0.902027,0.024529,0.015913,0.015195,0.029645,0.282985,,,0.384651
2026-06-16,SYK,False,risk_on,2025-Q1,2025-05-02,410,True,,0.638254,0.148653,0.11149,0.062144,0.118825,-0.105641,-0.170051,0.364757,0.545059,,1.642326,0.052363,0.005434,0.002761,0.023823,0.174405,,,-0.445372
2026-06-16,TDG,False,risk_on,2025-Q2,2025-05-06,406,True,,0.592558,0.46093,0.222791,0.086693,0.120375,0.143022,0.182716,1.143529,1.258571,,3.089682,0.110751,0.006756,0.0042,0.025119,-0.074921,,,-0.337609
2026-06-16,TJX,False,risk_on,2025-Q1,2025-05-30,382,False,,0.294791,0.100374,0.079018,0.15161,0.050645,-0.01791,-0.031776,0.089993,0.733097,,1.163295,0.133561,0.009825,-0.005776,0.025654,0.045163,,,-0.527241
2026-06-16,TMO,False,risk_on,2025-Q1,2025-05-02,410,True,,0.408626,0.175125,0.145407,0.06579,0.001837,0.073329,0.136501,0.345197,0.500363,,1.774497,0.060045,0.00729,0.003756,0.036376,0.276257,,,-0.310476
2026-06-16,TSLA,False,risk_on,2025-Q1,2025-04-23,419,True,,0.163072,0.025498,0.021153,0.048837,-0.092296,-0.578992,-0.705755,0.060179,0.397191,,1.996068,0.295705,0.017233,0.005307,0.004288,0.052932,,,-0.57532
2026-06-16,TXN,False,risk_on,2025-Q1,2025-04-24,418,True,,0.568444,0.325387,0.289752,0.144355,0.111445,0.139415,0.066968,0.380603,0.513997,,5.257533,0.148266,0.02515,-0.008117,0.017402,0.058587,,,0.256651
2026-06-16,UBER,False,risk_on,2025-Q1,2025-05-07,405,True,,0.398509,0.106477,0.153993,0.232592,0.138387,6.139535,3.715596,0.356329,0.566374,,1.202427,0.114081,0.043997,0.042596,0.079019,0.147316,,,0.306491
