config,regime_axis,regime_label,n_months,mean_monthly_return,ann_vol,sharpe,note
u296:mom_riskadj:top_decile,inflation_regime,inflation_up,57,0.021178,0.220586,1.152078,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,rates_regime,rates_down,43,0.034139,0.234505,1.746948,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,rates_regime,rates_up,64,0.016635,0.201284,0.991723,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,dollar_regime,dollar_down,49,0.0205,0.224207,1.097183,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_decile,dollar_regime,dollar_up,58,0.026347,0.210801,1.499818,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,risk_regime,risk_off,15,0.013048,0.265281,0.590218,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,risk_regime,risk_on,92,0.021679,0.168246,1.54627,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,vol_regime,high_vol,72,0.019833,0.19421,1.225431,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,vol_regime,low_vol,35,0.02178,0.162124,1.612062,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,trend_regime,above_trend,87,0.015766,0.158169,1.196126,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,trend_regime,below_trend,20,0.04093,0.261334,1.879442,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,inflation_regime,disinflation,50,0.022203,0.17361,1.534678,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,inflation_regime,inflation_up,57,0.018949,0.193299,1.176341,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,rates_regime,rates_down,43,0.030134,0.197101,1.834639,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,rates_regime,rates_up,64,0.013976,0.171845,0.975943,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,dollar_regime,dollar_down,49,0.017188,0.18733,1.101036,diagnostic only; not used for selection or weighting
u296:mom_riskadj:top_quintile,dollar_regime,dollar_up,58,0.023242,0.181444,1.537106,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,risk_regime,risk_off,15,0.016332,0.308713,0.634824,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,risk_regime,risk_on,98,0.032481,0.23575,1.653307,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,vol_regime,high_vol,72,0.026594,0.251206,1.270395,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,vol_regime,low_vol,36,0.039511,0.250437,1.8932,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,trend_regime,above_trend,90,0.025277,0.222338,1.364255,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,trend_regime,below_trend,20,0.05441,0.338703,1.927696,diagnostic only; not used for selection or weighting
u296:momentum_bucket:top_decile,inflation_regime,disinflation,51,0.032727,0.238387,1.647427,diagnostic only; not used for selection or weighting
