ticker,source_family,outcome,value
DOV,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DOV,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
DOW,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DOW,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
DPZ,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DPZ,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
DRI,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DRI,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
DTE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DTE,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
DTEGY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DTEGY,eodhd_raw_fundamentals(General.GicSector),HIT,Communication Services
DVA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DVA,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
DVN,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DVN,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
DXCM,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
DXCM,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
E,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
E,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
EA,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EA,eodhd_raw_fundamentals(General.GicSector),HIT,Communication Services
EBAY,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EBAY,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Discretionary
ECL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ECL,eodhd_raw_fundamentals(General.GicSector),HIT,Materials
ED,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ED,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
EFX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EFX,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
EG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EG,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
EIX,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EIX,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
EL,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EL,eodhd_raw_fundamentals(General.GicSector),HIT,Consumer Staples
EME,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EME,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
ENB,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ENB,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
EPD,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EPD,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
EQNR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EQNR,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
EQR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EQR,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
EQT,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EQT,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
ERIE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ERIE,eodhd_raw_fundamentals(General.GicSector),HIT,Financials
ES,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ES,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
ESS,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ESS,eodhd_raw_fundamentals(General.GicSector),HIT,Real Estate
ET,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ET,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
ETR,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
ETR,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
EVRG,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EVRG,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
EW,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EW,eodhd_raw_fundamentals(General.GicSector),HIT,Health Care
EXC,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EXC,eodhd_raw_fundamentals(General.GicSector),HIT,Utilities
EXE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EXE,eodhd_raw_fundamentals(General.GicSector),HIT,Energy
EXPD,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
EXPD,eodhd_raw_fundamentals(General.GicSector),HIT,Industrials
EXPE,norgate_local_symbol_metadata,UNAVAILABLE_NO_LOCAL_NORGATE_METADATA,
