side,rank_sn,ticker,comp_sn,comp_raw,sector,sector_is_unknown,sector_repaired,before_review_label,cohort,liquidity_proxy,review_status
SHORT,395,FIS,-1.1734,-1.63967,Financials,False,True,SHORT,new,309641734.34643,PAPER_REVIEW_ONLY
SHORT,396,UNH,-1.17967,-0.72772,Health Care,False,False,SHORT,old,1469841488.17719,PAPER_REVIEW_ONLY
SHORT,397,TDG,-1.18238,-1.2929,Industrials,False,False,SHORT,old,196735225.71109,PAPER_REVIEW_ONLY
SHORT,398,KLAC,-1.18337,-0.81716,Information Technology,False,False,SHORT,old,457598531.54419,PAPER_REVIEW_ONLY
SHORT,399,BNY,-1.2025,-1.59417,Financials,False,True,SHORT,old,232481474.41519,PAPER_REVIEW_ONLY
SHORT,400,CSCO,-1.23015,-0.64563,Information Technology,False,False,HOLD,old,937403516.43489,PAPER_REVIEW_ONLY
SHORT,401,BAC,-1.2468,-1.63743,Financials,False,False,SHORT,old,1561296962.5664,PAPER_REVIEW_ONLY
SHORT,402,HD,-1.24905,0.15688,Consumer Discretionary,False,False,HOLD,old,984999545.62949,PAPER_REVIEW_ONLY
SHORT,403,FE,-1.25118,-1.95019,Utilities,False,True,SHORT,new,162135052.47456,PAPER_REVIEW_ONLY
SHORT,404,NSC,-1.25319,-1.17665,Industrials,False,True,SHORT,old,274892312.24583,PAPER_REVIEW_ONLY
SHORT,405,LRCX,-1.27388,-0.90917,Information Technology,False,True,HOLD,old,752943472.17967,PAPER_REVIEW_ONLY
SHORT,406,CPRT,-1.29118,-1.39154,Industrials,False,True,SHORT,new,374757415.87143,PAPER_REVIEW_ONLY
SHORT,407,PTC,-1.31988,-0.73767,Information Technology,False,True,HOLD,new,101768099.35974,PAPER_REVIEW_ONLY
SHORT,408,E,-1.34968,-1.0852,Energy,False,True,SHORT,old,7814921.40373,PAPER_REVIEW_ONLY
SHORT,409,EG,-1.3559,-1.74689,Financials,False,True,SHORT,new,92919800.8432,PAPER_REVIEW_ONLY
SHORT,410,GM,-1.36545,-0.65354,Consumer Discretionary,False,True,HOLD,old,550639543.75913,PAPER_REVIEW_ONLY
SHORT,411,GSK,-1.36697,-0.92317,Health Care,False,True,HOLD,old,133674895.92032,PAPER_REVIEW_ONLY
SHORT,412,GEHC,-1.37847,-0.92697,Health Care,False,True,HOLD,new,257612043.70353,PAPER_REVIEW_ONLY
SHORT,413,BP,-1.39092,-1.13316,Energy,False,True,SHORT,old,240867244.33487,PAPER_REVIEW_ONLY
SHORT,414,LHX,-1.40004,-1.48538,Industrials,False,True,SHORT,new,221418959.28478,PAPER_REVIEW_ONLY
SHORT,415,IFNNY,-1.40444,-0.79345,Information Technology,False,True,HOLD,old,7583612.72135,PAPER_REVIEW_ONLY
SHORT,416,TAP,-1.41955,-1.37402,Consumer Staples,False,True,SHORT,new,120472766.09761,PAPER_REVIEW_ONLY
SHORT,417,BMY,-1.42366,-1.1828,Health Care,False,False,SHORT,old,567344516.14065,PAPER_REVIEW_ONLY
SHORT,418,Q,-1.42891,-0.81774,Information Technology,False,True,HOLD,new,255530889.7619,PAPER_REVIEW_ONLY
SHORT,419,BA,-1.43085,-1.34048,Industrials,False,False,HOLD,old,1882103599.92912,PAPER_REVIEW_ONLY
SHORT,420,NKE,-1.43178,-0.7224,Consumer Discretionary,False,False,SHORT,old,736784832.02591,PAPER_REVIEW_ONLY
SHORT,421,BKR,-1.45293,-1.20047,Energy,False,True,SHORT,old,192894279.49254,PAPER_REVIEW_ONLY
SHORT,422,GS,-1.48781,-1.8712,Financials,False,False,SHORT,old,851186925.13874,PAPER_REVIEW_ONLY
SHORT,423,SWKS,-1.48785,-0.86874,Information Technology,False,True,HOLD,new,228109920.50702,PAPER_REVIEW_ONLY
SHORT,424,MPWR,-1.50948,-0.8951,Information Technology,False,True,HOLD,old,225677515.84067,PAPER_REVIEW_ONLY
SHORT,425,BX,-1.59146,-1.98547,Financials,False,True,SHORT,old,325715571.6499,PAPER_REVIEW_ONLY
SHORT,426,GOOG,-1.69543,-1.48855,Communication Services,False,False,SHORT,new,28760408778.32265,PAPER_REVIEW_ONLY
SHORT,427,GOOGL,-1.69543,-1.48855,Communication Services,False,False,SHORT,old,3758556190.08703,PAPER_REVIEW_ONLY
SHORT,428,RKLB,-1.70703,-1.7522,Industrials,False,True,SHORT,old,378992840.62067,PAPER_REVIEW_ONLY
SHORT,429,TTE,-1.738,-1.47122,Energy,False,True,SHORT,old,79104350.05866,PAPER_REVIEW_ONLY
SHORT,430,SBUX,-1.75186,-1.03111,Consumer Discretionary,False,False,SHORT,old,649704650.83033,PAPER_REVIEW_ONLY
SHORT,431,BLK,-1.77685,-2.159,Financials,False,False,SHORT,old,408843867.85497,PAPER_REVIEW_ONLY
SHORT,432,BABA,-1.7991,-0.32955,Consumer Discretionary,False,True,HOLD,old,2545600991.26243,PAPER_REVIEW_ONLY
SHORT,433,PEP,-1.82792,-2.08714,Consumer Staples,False,False,SHORT,old,660458379.76606,PAPER_REVIEW_ONLY
SHORT,434,RL,-1.84533,-0.37507,Consumer Discretionary,False,True,HOLD,new,133717185.82698,PAPER_REVIEW_ONLY
SHORT,435,CTSH,-1.85863,-1.44419,Information Technology,False,True,SHORT,new,269007411.97371,PAPER_REVIEW_ONLY
SHORT,436,OXY,-1.93028,-1.85006,Energy,False,True,SHORT,new,571947748.83444,PAPER_REVIEW_ONLY
SHORT,437,NU,-1.93473,-2.3102,Financials,False,True,SHORT,old,389687222.54171,PAPER_REVIEW_ONLY
SHORT,438,NVO,-1.99062,-1.69586,Health Care,False,True,SHORT,old,255099912.30531,PAPER_REVIEW_ONLY
SHORT,439,GPC,-2.00968,-1.27858,Consumer Discretionary,False,True,SHORT,new,110323725.58213,PAPER_REVIEW_ONLY
SHORT,440,F,-2.02515,-1.29082,Consumer Discretionary,False,True,SHORT,old,553827128.58296,PAPER_REVIEW_ONLY
SHORT,441,NWS,-2.0275,0.9696,Communication Services,False,True,HOLD,new,15875190.15073,PAPER_REVIEW_ONLY
SHORT,442,NWSA,-2.0275,0.9696,Communication Services,False,True,HOLD,new,55493461.21123,PAPER_REVIEW_ONLY
SHORT,443,AXON,-2.06308,-2.07873,Industrials,False,True,SHORT,new,138263360.85322,PAPER_REVIEW_ONLY
SHORT,444,BG,-2.07734,-2.31218,Consumer Staples,False,True,SHORT,new,113196015.45657,PAPER_REVIEW_ONLY
SHORT,445,NCLH,-2.08557,-0.57533,Consumer Discretionary,False,True,HOLD,new,267531558.05542,PAPER_REVIEW_ONLY
SHORT,446,AMP,-2.09235,-2.46018,Financials,False,True,SHORT,new,171057305.50715,PAPER_REVIEW_ONLY
SHORT,447,SHW,-2.12023,-1.65242,Materials,False,False,HOLD,old,368089323.03318,PAPER_REVIEW_ONLY
SHORT,448,HSIC,-2.16764,-1.84215,Health Care,False,True,SHORT,new,106370167.48306,PAPER_REVIEW_ONLY
SHORT,449,MLM,-2.16781,-3.00554,Materials,False,True,SHORT,new,172371925.44176,PAPER_REVIEW_ONLY
SHORT,450,DIS,-2.23476,0.78438,Communication Services,False,False,HOLD,old,1194384428.10986,PAPER_REVIEW_ONLY
SHORT,451,LMT,-2.2679,-2.17023,Industrials,False,False,SHORT,old,493019038.92022,PAPER_REVIEW_ONLY
SHORT,452,SOLV,-2.2828,-1.94268,Health Care,False,True,SHORT,new,92560308.85604,PAPER_REVIEW_ONLY
SHORT,453,BSX,-2.31426,-1.84967,Health Care,False,False,SHORT,old,407302828.32592,PAPER_REVIEW_ONLY
SHORT,454,PPG,-2.47992,-1.99633,Materials,False,True,SHORT,new,187670740.54394,PAPER_REVIEW_ONLY
SHORT,455,HON,-2.49267,-2.38198,Industrials,False,False,SHORT,old,527220909.3048,PAPER_REVIEW_ONLY
SHORT,456,CVNA,-2.54004,-1.80877,Consumer Discretionary,False,True,SHORT,old,429384601.72938,PAPER_REVIEW_ONLY
SHORT,457,LII,-2.56019,-2.45213,Industrials,False,True,SHORT,new,106165446.20729,PAPER_REVIEW_ONLY
SHORT,458,PHM,-2.58929,-1.8516,Consumer Discretionary,False,True,SHORT,new,156597538.63249,PAPER_REVIEW_ONLY
SHORT,459,MRSH,-2.62074,-2.98196,Financials,False,True,SHORT,old,256304522.05498,PAPER_REVIEW_ONLY
SHORT,460,OMC,-2.62675,-2.36852,Communication Services,False,True,SHORT,new,168603249.78564,PAPER_REVIEW_ONLY
SHORT,461,TM,-2.66774,-1.10544,Consumer Discretionary,False,True,SHORT,old,38922415.21987,PAPER_REVIEW_ONLY
SHORT,462,EME,-2.71108,-2.60938,Industrials,False,True,SHORT,new,79006263.17245,PAPER_REVIEW_ONLY
