model,horizon_days,fold,val_start,val_end,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy
OPTIONAL_LOGISTIC_OUTPERFORMER,5,10,2024-04-09,2024-10-07,16128,126,0.018289,0.031138,0.243173,0.075212,0.563492,0.000423,-0.000404,0.000827,0.499389,0.571429,0.414835,0.180615
MODEL_FREE_COMPOSITE_BASELINE,21,10,2024-04-09,2024-10-07,16128,126,-0.034826,-0.054302,0.148277,-0.23487,0.365079,-0.005586,-0.001966,-0.00362,0.43956,0.380952,0.196581,0.229846
RIDGE_LINEAR_RANK_MODEL,21,10,2024-04-09,2024-10-07,16128,126,-0.009729,0.002406,0.138788,-0.070102,0.515873,0.003229,-0.004041,0.007271,0.48199,0.595238,0.351038,0.119077
OPTIONAL_LOGISTIC_OUTPERFORMER,21,10,2024-04-09,2024-10-07,16128,126,0.01383,0.00317,0.160116,0.086376,0.5,0.001398,-0.004,0.005397,0.485348,0.531746,0.405372,0.133538
MODEL_FREE_COMPOSITE_BASELINE,63,10,2024-04-09,2024-10-07,16128,126,-0.08741,-0.100004,0.114887,-0.760835,0.206349,-0.023595,0.002789,-0.026384,0.407204,0.277778,0.196581,0.229846
RIDGE_LINEAR_RANK_MODEL,63,10,2024-04-09,2024-10-07,16128,126,-0.061262,-0.064494,0.096809,-0.632812,0.214286,-0.014624,0.006706,-0.02133,0.442308,0.238095,0.461844,0.104615
OPTIONAL_LOGISTIC_OUTPERFORMER,63,10,2024-04-09,2024-10-07,16128,126,-0.001531,-0.021181,0.09293,-0.01647,0.404762,0.00066,-0.005948,0.006608,0.501832,0.5,0.539072,0.100923
MODEL_FREE_COMPOSITE_BASELINE,5,11,2024-10-08,2025-04-09,16128,126,-0.002833,-0.008654,0.184567,-0.01535,0.460317,0.000595,0.001543,-0.000948,0.495726,0.428571,0.227411,0.217846
RIDGE_LINEAR_RANK_MODEL,5,11,2024-10-08,2025-04-09,16128,126,-0.015176,-0.021814,0.2065,-0.073493,0.452381,0.000549,0.001459,-0.00091,0.490232,0.484127,0.324481,0.235077
OPTIONAL_LOGISTIC_OUTPERFORMER,5,11,2024-10-08,2025-04-09,16128,126,-0.02079,-0.005084,0.240542,-0.086432,0.492063,-9.4e-05,0.001873,-0.001966,0.478632,0.492063,0.310745,0.194462
MODEL_FREE_COMPOSITE_BASELINE,21,11,2024-10-08,2025-04-09,16128,126,-0.003261,0.056155,0.195153,-0.016712,0.579365,0.000406,0.003846,-0.003441,0.486874,0.539683,0.227411,0.217846
RIDGE_LINEAR_RANK_MODEL,21,11,2024-10-08,2025-04-09,16128,126,-0.041434,-0.101538,0.198449,-0.208788,0.34127,0.00442,0.00768,-0.00326,0.488706,0.373016,0.384005,0.118462
OPTIONAL_LOGISTIC_OUTPERFORMER,21,11,2024-10-08,2025-04-09,16128,126,-0.035403,-0.07375,0.208733,-0.169607,0.34127,-0.001945,0.004933,-0.006878,0.468254,0.31746,0.400183,0.136308
MODEL_FREE_COMPOSITE_BASELINE,63,11,2024-10-08,2025-04-09,16128,126,0.053511,0.062649,0.163967,0.326351,0.642857,0.012444,-0.00373,0.016175,0.503968,0.634921,0.227411,0.217846
RIDGE_LINEAR_RANK_MODEL,63,11,2024-10-08,2025-04-09,16128,126,-0.082777,-0.14926,0.209778,-0.394591,0.31746,0.011291,0.024654,-0.013364,0.461538,0.333333,0.452686,0.107385
OPTIONAL_LOGISTIC_OUTPERFORMER,63,11,2024-10-08,2025-04-09,16128,126,-0.05947,-0.111183,0.217719,-0.273151,0.333333,0.01423,0.014424,-0.000194,0.474359,0.388889,0.497863,0.108923
MODEL_FREE_COMPOSITE_BASELINE,5,12,2025-04-10,2025-10-09,16128,126,-0.046845,-0.027595,0.290918,-0.161025,0.444444,-0.004933,0.001472,-0.006405,0.438645,0.436508,0.244505,0.195692
RIDGE_LINEAR_RANK_MODEL,5,12,2025-04-10,2025-10-09,16128,126,0.108189,0.08735,0.215329,0.502433,0.706349,0.004868,-0.007091,0.011959,0.53602,0.634921,0.282357,0.244308
OPTIONAL_LOGISTIC_OUTPERFORMER,5,12,2025-04-10,2025-10-09,16128,126,0.072351,0.038443,0.187396,0.386086,0.626984,0.002876,-0.0042,0.007076,0.524725,0.595238,0.217338,0.212923
MODEL_FREE_COMPOSITE_BASELINE,21,12,2025-04-10,2025-10-09,16128,126,-0.164249,-0.14232,0.215224,-0.763152,0.206349,-0.023014,0.010718,-0.033732,0.319597,0.246032,0.244505,0.195692
RIDGE_LINEAR_RANK_MODEL,21,12,2025-04-10,2025-10-09,16128,126,0.164654,0.16437,0.188658,0.872764,0.801587,0.018997,-0.024159,0.043156,0.550672,0.857143,0.346154,0.112615
OPTIONAL_LOGISTIC_OUTPERFORMER,21,12,2025-04-10,2025-10-09,16128,126,0.10049,0.088408,0.178219,0.563858,0.706349,0.001063,-0.018241,0.019304,0.474969,0.619048,0.225275,0.140923
MODEL_FREE_COMPOSITE_BASELINE,63,12,2025-04-10,2025-10-09,16128,126,-0.195115,-0.199644,0.132659,-1.470797,0.047619,-0.051503,0.031204,-0.082707,0.257631,0.063492,0.244505,0.195692
RIDGE_LINEAR_RANK_MODEL,63,12,2025-04-10,2025-10-09,16128,126,0.224971,0.21542,0.10391,2.165052,0.984127,0.054272,-0.06063,0.114902,0.543956,1.0,0.444139,0.091692
