model,horizon_days,fold,val_start,val_end,regime_label,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy,overlap_corrected_n_dates,overlap_corrected_mean_rank_ic
LOGISTIC_OUTPERFORMER_BENCHMARK,5,9,2023-10-06,2024-04-08,risk_on_rally,16128,126,0.006432,0.008292,0.124233,0.051775,0.52381,0.001023,-0.000119,0.001142,0.503663,0.492063,0.243895,0.273231,,
MODEL_FREE_COMPOSITE_BASELINE,21,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.034826,-0.054302,0.148277,-0.23487,0.365079,-0.005586,-0.001966,-0.00362,0.43956,0.380952,0.196581,0.229846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.028429,-0.03618,0.125801,-0.225981,0.380952,-0.001437,0.002553,-0.00399,0.471917,0.420635,0.223748,0.131385,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.030461,-0.049974,0.109165,-0.27904,0.349206,-0.002717,0.001677,-0.004394,0.46398,0.34127,0.193834,0.127692,,
MODEL_FREE_COMPOSITE_BASELINE,63,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.08741,-0.100004,0.114887,-0.760835,0.206349,-0.023595,0.002789,-0.026384,0.407204,0.277778,0.196581,0.229846,2.0,-0.024784
REFINED_RIDGE_LINEAR_RANK_MODEL,63,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,0.020198,0.025496,0.073539,0.274655,0.579365,0.009221,0.006451,0.002769,0.529304,0.515873,0.299145,0.110154,2.0,-0.027771
LOGISTIC_OUTPERFORMER_BENCHMARK,63,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,0.018412,0.015877,0.082984,0.221877,0.555556,0.002682,0.006647,-0.003966,0.547009,0.380952,0.191697,0.12,2.0,0.039592
MODEL_FREE_COMPOSITE_BASELINE,5,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.007968,-0.035595,0.187435,-0.042511,0.420635,-0.001226,2.8e-05,-0.001254,0.473748,0.420635,0.196581,0.229846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.005322,-0.009908,0.109423,-0.048634,0.460317,0.000135,-2.1e-05,0.000157,0.484432,0.460317,0.188339,0.244308,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,10,2024-04-09,2024-10-07,risk_on_rally,16128,126,-0.006058,-0.007402,0.108617,-0.055771,0.492063,-0.000218,0.000487,-0.000705,0.48199,0.47619,0.235958,0.247077,,
