date,ticker,regime,return_20d,return_63d,return_126d,mom_acceleration,price_vs_sma50,price_vs_sma200,sma50_vs_200,return_zscore_5d,dist_sma20,rs_20d_vs_spy,rs_63d_vs_spy,residual_alpha_20d,realized_vol_63d,downside_vol_63d,vol_adj_momentum,avg_dollar_volume_20d,forward_return_20d,forward_excess_return_20d_vs_spy,top_quintile_forward_excess_return
2026-04-30,MA,risk_on,0.024681,-0.073466,-0.108475,0.08448,-0.007419,-0.080511,-0.073638,0.294147,-0.010739,-0.072108,-0.111767,-0.035639,0.260336,0.208007,-0.282197,1684630409.347687,-0.017776,-0.070402,0
2026-04-30,MAR,risk_on,0.084658,0.13328,0.368361,0.09204,0.05846,0.203888,0.137396,1.399624,0.007753,-0.012131,0.094978,-0.01947,0.320471,0.172731,0.415887,500186437.896729,0.040508,-0.012118,0
2026-04-30,MCD,risk_on,-0.044583,-0.064277,-0.030673,0.029119,-0.065962,-0.043833,0.023691,0.779667,-0.029985,-0.141372,-0.102578,-0.064192,0.178146,0.138252,-0.360809,928018906.347961,-0.049014,-0.10164,0
2026-04-30,MCO,risk_on,0.052578,-0.10205,-0.055003,0.121005,0.030646,-0.042724,-0.071189,1.541901,0.026368,-0.044211,-0.140352,-0.026382,0.365962,0.290068,-0.278855,466906181.561432,-0.016279,-0.068905,0
2026-04-30,MDLZ,risk_on,0.076573,0.081346,0.038739,0.095756,0.064797,0.050171,-0.013736,0.634707,0.059283,-0.020216,0.043045,0.06775,0.264254,0.178188,0.307833,468389661.85524,-0.004395,-0.05702,0
2026-04-30,MDT,risk_on,-0.059145,-0.191771,-0.117974,0.033296,-0.082664,-0.128989,-0.050499,-0.350577,-0.047776,-0.155934,-0.230073,-0.104961,0.21076,0.179346,-0.909904,738470165.355301,-0.088428,-0.141054,0
2026-04-30,META,risk_on,0.05642,-0.170492,-0.184322,0.188216,-0.030018,-0.097257,-0.06932,-1.668661,-0.051807,-0.040369,-0.208794,-0.114526,0.408643,0.319314,-0.417216,10097491506.300964,0.033665,-0.018961,0
2026-04-30,MO,risk_on,0.109499,0.236067,0.188672,0.132147,0.097024,0.180891,0.07645,1.554287,0.093073,0.01271,0.197765,0.142029,0.247029,0.116029,0.955624,597072370.836563,-0.042257,-0.094883,0
2026-04-30,MRK,risk_on,-0.096491,0.015218,0.274604,-0.108588,-0.070252,0.107326,0.190996,-0.309785,-0.062945,-0.19328,-0.023084,-0.130573,0.261298,0.180847,0.058238,1094229713.01796,0.087379,0.034753,1
2026-04-30,MS,risk_on,0.153122,0.056308,0.173316,0.161536,0.115503,0.164921,0.044301,1.259571,0.043689,0.056333,0.018006,0.009505,0.334103,0.247116,0.168534,1050466925.834579,0.091348,0.038722,1
