date,ticker,model,score,forward_excess_return_20d_vs_spy
2017-06-30,ISRG,cross_sectional_composite_zscore,1.102161,-0.017465
2017-06-30,LOW,cross_sectional_composite_zscore,-0.705888,-0.016657
2017-06-30,MRK,cross_sectional_composite_zscore,-0.240152,-0.023831
2017-06-30,NVDA,cross_sectional_composite_zscore,1.035691,0.103615
2017-06-30,PM,cross_sectional_composite_zscore,0.031112,-0.026855
2017-06-30,SHW,cross_sectional_composite_zscore,0.689024,-0.059562
2017-06-30,TMO,cross_sectional_composite_zscore,0.356743,-0.014479
2017-06-30,VZ,cross_sectional_composite_zscore,-1.09091,0.077403
2017-07-31,ACN,cross_sectional_composite_zscore,0.16351,0.012176
2017-07-31,APD,cross_sectional_composite_zscore,-0.406487,0.034452
2017-07-31,BSX,cross_sectional_composite_zscore,-0.445499,0.022063
2017-07-31,COP,cross_sectional_composite_zscore,-0.523861,-0.04222
2017-07-31,ELV,cross_sectional_composite_zscore,-0.038221,0.047957
2017-07-31,GOOG,cross_sectional_composite_zscore,-0.025427,-0.009021
2017-07-31,INTU,cross_sectional_composite_zscore,0.352225,0.013944
2017-07-31,LMT,cross_sectional_composite_zscore,0.474742,0.048213
2017-07-31,MO,cross_sectional_composite_zscore,-1.607877,-0.007092
2017-07-31,NOW,cross_sectional_composite_zscore,0.613535,0.022134
2017-07-31,PLD,cross_sectional_composite_zscore,0.523866,0.035556
2017-07-31,SCHW,cross_sectional_composite_zscore,-0.256875,-0.067677
2017-07-31,TJX,cross_sectional_composite_zscore,-1.127586,0.03465
2017-07-31,VRTX,cross_sectional_composite_zscore,2.224885,0.019322
2017-08-31,ABT,cross_sectional_composite_zscore,0.663903,0.027357
2017-08-31,AON,cross_sectional_composite_zscore,0.316318,0.029721
2017-08-31,BMY,cross_sectional_composite_zscore,0.898511,0.033752
2017-08-31,CMG,cross_sectional_composite_zscore,-2.455674,-0.048188
2017-08-31,DUK,cross_sectional_composite_zscore,0.282255,-0.058867
2017-08-31,GILD,cross_sectional_composite_zscore,1.899281,-0.046232
2017-08-31,INTC,cross_sectional_composite_zscore,-0.695096,0.065679
2017-08-31,LLY,cross_sectional_composite_zscore,-0.163027,0.032132
2017-08-31,META,cross_sectional_composite_zscore,0.614335,-0.026546
2017-08-31,NOC,cross_sectional_composite_zscore,0.344553,0.036829
2017-08-31,PH,cross_sectional_composite_zscore,-0.351502,0.067674
2017-08-31,SBUX,cross_sectional_composite_zscore,-0.937103,-0.041112
2017-08-31,TDG,cross_sectional_composite_zscore,0.119291,-0.03937
2017-08-31,V,cross_sectional_composite_zscore,0.610749,-0.003534
2017-09-29,ABBV,cross_sectional_composite_zscore,1.938654,0.015972
2017-09-29,AMZN,cross_sectional_composite_zscore,-0.693356,0.119419
2017-09-29,BLK,cross_sectional_composite_zscore,0.32497,0.036923
2017-09-29,CME,cross_sectional_composite_zscore,0.588555,-0.01201
2017-09-29,DIS,cross_sectional_composite_zscore,-1.160752,-0.028431
2017-09-29,GE,cross_sectional_composite_zscore,-1.243492,-0.165991
2017-09-29,ICE,cross_sectional_composite_zscore,0.259453,-0.072663
2017-09-29,LIN,cross_sectional_composite_zscore,0.378224,0.034318
2017-09-29,MDT,cross_sectional_composite_zscore,-1.267224,0.019598
2017-09-29,NKE,cross_sectional_composite_zscore,-1.163117,0.053474
2017-09-29,PG,cross_sectional_composite_zscore,-0.329041,-0.06193
2017-09-29,RTX,cross_sectional_composite_zscore,-0.908013,-3.5e-05
2017-09-29,T,cross_sectional_composite_zscore,-0.112779,-0.144069
2017-09-29,USB,cross_sectional_composite_zscore,-0.003532,-0.009932
2017-10-31,AAPL,cross_sectional_composite_zscore,0.466874,-0.015414
2017-10-31,AMGN,cross_sectional_composite_zscore,-0.736834,-0.031967
2017-10-31,BKNG,cross_sectional_composite_zscore,-0.499522,-0.114463
2017-10-31,CL,cross_sectional_composite_zscore,-0.629659,0.000522
