ticker,normalized_path,price_rows,gitignored
OXY,research/data/eodhd/normalized/eod_prices/OXY.csv,2635,True
PAYX,research/data/eodhd/normalized/eod_prices/PAYX.csv,2635,True
PCG,research/data/eodhd/normalized/eod_prices/PCG.csv,2635,True
PEG,research/data/eodhd/normalized/eod_prices/PEG.csv,2635,True
PFG,research/data/eodhd/normalized/eod_prices/PFG.csv,2635,True
PHM,research/data/eodhd/normalized/eod_prices/PHM.csv,2635,True
PKG,research/data/eodhd/normalized/eod_prices/PKG.csv,2635,True
PNR,research/data/eodhd/normalized/eod_prices/PNR.csv,2635,True
PNW,research/data/eodhd/normalized/eod_prices/PNW.csv,2635,True
PODD,research/data/eodhd/normalized/eod_prices/PODD.csv,2635,True
PPG,research/data/eodhd/normalized/eod_prices/PPG.csv,2635,True
PPL,research/data/eodhd/normalized/eod_prices/PPL.csv,2635,True
PRU,research/data/eodhd/normalized/eod_prices/PRU.csv,2635,True
PSA,research/data/eodhd/normalized/eod_prices/PSA.csv,2635,True
PSKY,research/data/eodhd/normalized/eod_prices/PSKY.csv,2635,True
PTC,research/data/eodhd/normalized/eod_prices/PTC.csv,2635,True
PYPL,research/data/eodhd/normalized/eod_prices/PYPL.csv,2635,True
Q,research/data/eodhd/normalized/eod_prices/Q.csv,168,True
REG,research/data/eodhd/normalized/eod_prices/REG.csv,2635,True
RF,research/data/eodhd/normalized/eod_prices/RF.csv,2635,True
RJF,research/data/eodhd/normalized/eod_prices/RJF.csv,2635,True
RL,research/data/eodhd/normalized/eod_prices/RL.csv,2635,True
RMD,research/data/eodhd/normalized/eod_prices/RMD.csv,2635,True
ROK,research/data/eodhd/normalized/eod_prices/ROK.csv,2635,True
ROL,research/data/eodhd/normalized/eod_prices/ROL.csv,2635,True
ROP,research/data/eodhd/normalized/eod_prices/ROP.csv,2635,True
RVTY,research/data/eodhd/normalized/eod_prices/RVTY.csv,2635,True
SATS,research/data/eodhd/normalized/eod_prices/SATS.csv,2634,True
SBAC,research/data/eodhd/normalized/eod_prices/SBAC.csv,2635,True
SJM,research/data/eodhd/normalized/eod_prices/SJM.csv,2635,True
SNA,research/data/eodhd/normalized/eod_prices/SNA.csv,2635,True
SOLV,research/data/eodhd/normalized/eod_prices/SOLV.csv,565,True
STE,research/data/eodhd/normalized/eod_prices/STE.csv,2635,True
STLD,research/data/eodhd/normalized/eod_prices/STLD.csv,2635,True
STT,research/data/eodhd/normalized/eod_prices/STT.csv,2635,True
STZ,research/data/eodhd/normalized/eod_prices/STZ.csv,2635,True
SW,research/data/eodhd/normalized/eod_prices/SW.csv,2636,True
SWK,research/data/eodhd/normalized/eod_prices/SWK.csv,2635,True
SWKS,research/data/eodhd/normalized/eod_prices/SWKS.csv,2635,True
TAP,research/data/eodhd/normalized/eod_prices/TAP.csv,2635,True
TECH,research/data/eodhd/normalized/eod_prices/TECH.csv,2635,True
XYZ,research/data/eodhd/normalized/eod_prices/XYZ.csv,2635,True
