date,ticker,regime,price_plus_event_score,y_excess_20d,excess_5d,excess_10d,raw_return_20d
2017-03-31,GOOGL,risk_on,-1.077412,0.087812,-0.004433,0.013609,0.100283
2017-04-28,AAPL,risk_on,0.555947,0.058502,0.030161,0.087374,0.073749
2017-04-28,ABBV,risk_on,-0.645195,-0.013427,0.009119,-0.00196,0.00182
2017-04-28,ABT,risk_on,-0.14845,0.009272,0.01611,0.003553,0.024519
2017-04-28,ACN,risk_on,-0.680838,-0.002139,-0.004991,-0.006583,0.013108
2017-04-28,ADBE,risk_on,0.307428,0.045692,0.00142,0.019399,0.060939
2017-04-28,ADI,risk_on,1.385235,0.071499,-0.012185,0.02811,0.086746
2017-04-28,ADP,risk_on,-0.440363,-0.045298,-0.05657,-0.073834,-0.030051
2017-04-28,AMAT,risk_on,0.74737,0.107677,0.023237,0.065907,0.122924
2017-04-28,AMD,risk_on,5.771044,-0.188179,-0.240639,-0.157163,-0.172932
2017-04-28,AMGN,risk_on,0.29638,-0.059267,-0.003804,-0.022761,-0.04402
2017-04-28,AMZN,risk_on,0.291584,0.061284,0.003098,0.035529,0.076531
2017-04-28,AON,risk_on,-0.753437,0.069616,0.013472,0.032936,0.084863
2017-04-28,APD,risk_on,-0.782406,0.009023,0.041024,0.021629,0.02427
2017-04-28,APH,risk_on,-0.450028,0.019188,-0.009294,0.003688,0.034435
2017-04-28,AVGO,risk_on,1.029905,0.07714,0.018738,0.064831,0.092387
2017-04-28,AXP,risk_on,0.334584,-0.037834,-0.018539,-0.025988,-0.022587
2017-04-28,BA,risk_on,0.268789,0.002004,-0.005831,-0.004738,0.017251
2017-04-28,BAC,risk_on,1.873215,-0.019531,0.010334,0.024498,-0.004285
2017-04-28,BKNG,risk_on,0.242194,-0.005998,0.023967,-0.019288,0.009248
2017-04-28,BLK,risk_on,-1.408062,0.04313,-0.008911,-0.00235,0.058377
2017-04-28,BMY,risk_on,-0.162142,-0.052356,-0.022861,-0.021978,-0.037109
2017-04-28,BSX,risk_on,-1.630018,0.020386,-0.001876,-0.009466,0.035633
2017-04-28,C,risk_on,0.586125,0.034651,0.01214,0.029204,0.049898
2017-04-28,CAT,risk_on,1.104062,0.018002,-0.032425,-0.018938,0.033249
2017-04-28,CB,risk_on,-0.212584,0.02111,-0.003161,-0.007496,0.036357
2017-04-28,CDNS,risk_on,1.070767,0.057213,0.007626,0.006045,0.072459
2017-04-28,CI,risk_on,-0.294552,0.016409,0.018008,0.032416,0.031656
2017-04-28,CL,risk_on,-0.361745,0.032088,-0.009997,-0.014746,0.047335
2017-04-28,CME,risk_on,0.187928,0.000159,0.015315,-0.003952,0.015406
2017-04-28,CMG,risk_on,0.401542,-0.003276,-0.005055,0.027539,0.011971
2017-04-28,COP,risk_on,1.064747,-0.063382,-0.030599,-0.017913,-0.048136
2017-04-28,COST,risk_on,-0.73279,0.030189,0.008292,0.000628,0.045435
