function,target,available,ok,n_rows,detail
price_timeseries,KRI-200606,True,True,4158,pandas
index_constituent_timeseries,KRI-200606@S&P 500,True,True,4158,
last_quoted_date,KRI-200606,True,True,,
first_quoted_date,KRI-200606,True,True,,
classification_at_level,KRI-200606,True,True,,GICS L1
security_name,KRI-200606,True,True,,
price_timeseries,KSC-196409,True,True,0,empty
price_timeseries,KSE-199805,True,True,2126,pandas
index_constituent_timeseries,KSE-199805@S&P 500,True,True,2126,
last_quoted_date,KSE-199805,True,True,,
first_quoted_date,KSE-199805,True,True,,
classification_at_level,KSE-199805,True,True,,GICS L1
security_name,KSE-199805,True,True,,
price_timeseries,KSE-200708,True,True,4450,pandas
index_constituent_timeseries,KSE-200708@S&P 500,True,True,4450,
last_quoted_date,KSE-200708,True,True,,
first_quoted_date,KSE-200708,True,True,,
classification_at_level,KSE-200708,True,True,,GICS L1
security_name,KSE-200708,True,True,,
price_timeseries,KSP-196605,True,True,0,empty
price_timeseries,KSS,True,True,8583,pandas
index_constituent_timeseries,KSS@S&P 500,True,True,8583,
last_quoted_date,KSS,True,True,,
first_quoted_date,KSS,True,True,,
classification_at_level,KSS,True,True,,GICS L1
security_name,KSS,True,True,,
price_timeseries,KSU-202112,True,True,8051,pandas
index_constituent_timeseries,KSU-202112@S&P 500,True,True,8051,
last_quoted_date,KSU-202112,True,True,,
first_quoted_date,KSU-202112,True,True,,
classification_at_level,KSU-202112,True,True,,GICS L1
security_name,KSU-202112,True,True,,
price_timeseries,KT-196804,True,True,0,empty
price_timeseries,KTY-197107,True,True,0,empty
price_timeseries,KVUE,True,True,786,pandas
index_constituent_timeseries,KVUE@S&P 500,True,True,786,
last_quoted_date,KVUE,True,True,,
first_quoted_date,KVUE,True,True,,
classification_at_level,KVUE,True,True,,GICS L1
security_name,KVUE,True,True,,
price_timeseries,KW-197310,True,True,0,empty
price_timeseries,KWP-199911,True,True,2496,pandas
index_constituent_timeseries,KWP-199911@S&P 500,True,True,2496,
last_quoted_date,KWP-199911,True,True,,
first_quoted_date,KWP-199911,True,True,,
classification_at_level,KWP-199911,True,True,,GICS L1
security_name,KWP-199911,True,True,,
price_timeseries,KYR-197510,True,True,0,empty
price_timeseries,L,True,True,9185,pandas
index_constituent_timeseries,L@S&P 500,True,True,9185,
last_quoted_date,L,True,True,,
first_quoted_date,L,True,True,,
classification_at_level,L,True,True,,GICS L1
security_name,L,True,True,,
price_timeseries,L-196903,True,True,0,empty
price_timeseries,LCE-199404,True,True,1085,pandas
index_constituent_timeseries,LCE-199404@S&P 500,True,True,1085,
last_quoted_date,LCE-199404,True,True,,
first_quoted_date,LCE-199404,True,True,,
classification_at_level,LCE-199404,True,True,,GICS L1
classification,LCE-199404,True,True,,GICS flat fallback
security_name,LCE-199404,True,True,,
price_timeseries,LDG-200810,True,True,4749,pandas
index_constituent_timeseries,LDG-200810@S&P 500,True,True,4749,
last_quoted_date,LDG-200810,True,True,,
first_quoted_date,LDG-200810,True,True,,
classification_at_level,LDG-200810,True,True,,GICS L1
security_name,LDG-200810,True,True,,
price_timeseries,LDOS,True,True,4952,pandas
index_constituent_timeseries,LDOS@S&P 500,True,True,4952,
last_quoted_date,LDOS,True,True,,
first_quoted_date,LDOS,True,True,,
classification_at_level,LDOS,True,True,,GICS L1
security_name,LDOS,True,True,,
price_timeseries,LDW-200012,True,True,2775,pandas
index_constituent_timeseries,LDW-200012@S&P 500,True,True,2775,
last_quoted_date,LDW-200012,True,True,,
first_quoted_date,LDW-200012,True,True,,
classification_at_level,LDW-200012,True,True,,GICS L1
security_name,LDW-200012,True,True,,
price_timeseries,LEG,True,True,9185,pandas
index_constituent_timeseries,LEG@S&P 500,True,True,9185,
last_quoted_date,LEG,True,True,,
first_quoted_date,LEG,True,True,,
classification_at_level,LEG,True,True,,GICS L1
security_name,LEG,True,True,,
price_timeseries,LEHMQ-201203,True,True,4488,pandas
index_constituent_timeseries,LEHMQ-201203@S&P 500,True,True,4488,
last_quoted_date,LEHMQ-201203,True,True,,
first_quoted_date,LEHMQ-201203,True,True,,
classification_at_level,LEHMQ-201203,True,True,,GICS L1
security_name,LEHMQ-201203,True,True,,
price_timeseries,LEN,True,True,9173,pandas
index_constituent_timeseries,LEN@S&P 500,True,True,9173,
last_quoted_date,LEN,True,True,,
first_quoted_date,LEN,True,True,,
classification_at_level,LEN,True,True,,GICS L1
security_name,LEN,True,True,,
price_timeseries,LES-196205,True,True,0,empty
price_timeseries,LGT-198008,True,True,0,empty
price_timeseries,LH,True,True,9162,pandas
index_constituent_timeseries,LH@S&P 500,True,True,9162,
last_quoted_date,LH,True,True,,
first_quoted_date,LH,True,True,,
classification_at_level,LH,True,True,,GICS L1
security_name,LH,True,True,,
price_timeseries,LHX,True,True,9185,pandas
index_constituent_timeseries,LHX@S&P 500,True,True,9185,
last_quoted_date,LHX,True,True,,
first_quoted_date,LHX,True,True,,
classification_at_level,LHX,True,True,,GICS L1
security_name,LHX,True,True,,
price_timeseries,LIFE-201402,True,True,3758,pandas
index_constituent_timeseries,LIFE-201402@S&P 500,True,True,3758,
last_quoted_date,LIFE-201402,True,True,,
first_quoted_date,LIFE-201402,True,True,,
classification_at_level,LIFE-201402,True,True,,GICS L1
security_name,LIFE-201402,True,True,,
price_timeseries,LII,True,True,6766,pandas
index_constituent_timeseries,LII@S&P 500,True,True,6766,
last_quoted_date,LII,True,True,,
first_quoted_date,LII,True,True,,
classification_at_level,LII,True,True,,GICS L1
security_name,LII,True,True,,
price_timeseries,LIL-196811,True,True,0,empty
price_timeseries,LIN,True,True,1919,pandas
index_constituent_timeseries,LIN@S&P 500,True,True,1919,
last_quoted_date,LIN,True,True,,
first_quoted_date,LIN,True,True,,
classification_at_level,LIN,True,True,,GICS L1
security_name,LIN,True,True,,
price_timeseries,LINB-199510,True,True,1456,pandas
index_constituent_timeseries,LINB-199510@S&P 500,True,True,1456,
last_quoted_date,LINB-199510,True,True,,
first_quoted_date,LINB-199510,True,True,,
classification_at_level,LINB-199510,True,True,,GICS L1
security_name,LINB-199510,True,True,,
price_timeseries,LIT-200105,True,True,2880,pandas
index_constituent_timeseries,LIT-200105@S&P 500,True,True,2880,
last_quoted_date,LIT-200105,True,True,,
first_quoted_date,LIT-200105,True,True,,
classification_at_level,LIT-200105,True,True,,GICS L1
classification,LIT-200105,True,True,,GICS flat fallback
security_name,LIT-200105,True,True,,
price_timeseries,LITE,True,True,2744,pandas
index_constituent_timeseries,LITE@S&P 500,True,True,2744,
last_quoted_date,LITE,True,True,,
first_quoted_date,LITE,True,True,,
classification_at_level,LITE,True,True,,GICS L1
security_name,LITE,True,True,,
price_timeseries,LJ-197604,True,True,0,empty
price_timeseries,LJS-196003,True,True,0,empty
price_timeseries,LKB-196706,True,True,0,empty
price_timeseries,LKQ,True,True,5715,pandas
index_constituent_timeseries,LKQ@S&P 500,True,True,5715,
last_quoted_date,LKQ,True,True,,
first_quoted_date,LKQ,True,True,,
classification_at_level,LKQ,True,True,,GICS L1
security_name,LKQ,True,True,,
price_timeseries,LKS-198806,True,True,0,empty
price_timeseries,LL-196811,True,True,0,empty
price_timeseries,LLL-201906,True,True,5313,pandas
index_constituent_timeseries,LLL-201906@S&P 500,True,True,5313,
last_quoted_date,LLL-201906,True,True,,
first_quoted_date,LLL-201906,True,True,,
classification_at_level,LLL-201906,True,True,,GICS L1
security_name,LLL-201906,True,True,,
price_timeseries,LLTC-201703,True,True,6852,pandas
index_constituent_timeseries,LLTC-201703@S&P 500,True,True,6852,
last_quoted_date,LLTC-201703,True,True,,
first_quoted_date,LLTC-201703,True,True,,
classification_at_level,LLTC-201703,True,True,,GICS L1
security_name,LLTC-201703,True,True,,
price_timeseries,LLX-199710,True,True,1976,pandas
index_constituent_timeseries,LLX-199710@S&P 500,True,True,1976,
last_quoted_date,LLX-199710,True,True,,
first_quoted_date,LLX-199710,True,True,,
classification_at_level,LLX-199710,True,True,,GICS L1
security_name,LLX-199710,True,True,,
price_timeseries,LLY,True,True,9185,pandas
index_constituent_timeseries,LLY@S&P 500,True,True,9185,
last_quoted_date,LLY,True,True,,
first_quoted_date,LLY,True,True,,
classification_at_level,LLY,True,True,,GICS L1
security_name,LLY,True,True,,
price_timeseries,LM-202007,True,True,7699,pandas
index_constituent_timeseries,LM-202007@S&P 500,True,True,7699,
last_quoted_date,LM-202007,True,True,,
first_quoted_date,LM-202007,True,True,,
classification_at_level,LM-202007,True,True,,GICS L1
security_name,LM-202007,True,True,,
price_timeseries,LMT,True,True,9185,pandas
index_constituent_timeseries,LMT@S&P 500,True,True,9185,
last_quoted_date,LMT,True,True,,
first_quoted_date,LMT,True,True,,
classification_at_level,LMT,True,True,,GICS L1
security_name,LMT,True,True,,
price_timeseries,LN-197106,True,True,0,empty
price_timeseries,LNC,True,True,9185,pandas
index_constituent_timeseries,LNC@S&P 500,True,True,9185,
last_quoted_date,LNC,True,True,,
first_quoted_date,LNC,True,True,,
classification_at_level,LNC,True,True,,GICS L1
security_name,LNC,True,True,,
price_timeseries,LNT,True,True,9185,pandas
index_constituent_timeseries,LNT@S&P 500,True,True,9185,
last_quoted_date,LNT,True,True,,
first_quoted_date,LNT,True,True,,
classification_at_level,LNT,True,True,,GICS L1
security_name,LNT,True,True,,
price_timeseries,LNY-198205,True,True,0,empty
price_timeseries,LO-201506,True,True,3363,pandas
index_constituent_timeseries,LO-201506@S&P 500,True,True,3363,
last_quoted_date,LO-201506,True,True,,
first_quoted_date,LO-201506,True,True,,
classification_at_level,LO-201506,True,True,,GICS L1
security_name,LO-201506,True,True,,
price_timeseries,LOR-199604,True,True,1600,pandas
index_constituent_timeseries,LOR-199604@S&P 500,True,True,1600,
last_quoted_date,LOR-199604,True,True,,
first_quoted_date,LOR-199604,True,True,,
classification_at_level,LOR-199604,True,True,,GICS L1
security_name,LOR-199604,True,True,,
price_timeseries,LOTS-199507,True,True,1393,pandas
index_constituent_timeseries,LOTS-199507@S&P 500,True,True,1393,
last_quoted_date,LOTS-199507,True,True,,
first_quoted_date,LOTS-199507,True,True,,
classification_at_level,LOTS-199507,True,True,,GICS L1
security_name,LOTS-199507,True,True,,
price_timeseries,LOW,True,True,9185,pandas
index_constituent_timeseries,LOW@S&P 500,True,True,9185,
last_quoted_date,LOW,True,True,,
first_quoted_date,LOW,True,True,,
classification_at_level,LOW,True,True,,GICS L1
security_name,LOW,True,True,,
price_timeseries,LPT-197710,True,True,0,empty
price_timeseries,LPX,True,True,9185,pandas
index_constituent_timeseries,LPX@S&P 500,True,True,9185,
last_quoted_date,LPX,True,True,,
first_quoted_date,LPX,True,True,,
classification_at_level,LPX,True,True,,GICS L1
security_name,LPX,True,True,,
price_timeseries,LRCX,True,True,9184,pandas
index_constituent_timeseries,LRCX@S&P 500,True,True,9184,
last_quoted_date,LRCX,True,True,,
first_quoted_date,LRCX,True,True,,
classification_at_level,LRCX,True,True,,GICS L1
security_name,LRCX,True,True,,
price_timeseries,LSI-201405,True,True,6134,pandas
index_constituent_timeseries,LSI-201405@S&P 500,True,True,6134,
last_quoted_date,LSI-201405,True,True,,
first_quoted_date,LSI-201405,True,True,,
classification_at_level,LSI-201405,True,True,,GICS L1
security_name,LSI-201405,True,True,,
price_timeseries,LSO-198003,True,True,0,empty
price_timeseries,LST-198511,True,True,0,empty
price_timeseries,LT-198901,True,True,0,empty
price_timeseries,LTC-198706,True,True,0,empty
price_timeseries,LTV-199306,True,True,881,pandas
index_constituent_timeseries,LTV-199306@S&P 500,True,True,881,
last_quoted_date,LTV-199306,True,True,,
first_quoted_date,LTV-199306,True,True,,
classification_at_level,LTV-199306,True,True,,GICS L1
classification,LTV-199306,True,True,,GICS flat fallback
security_name,LTV-199306,True,True,,
price_timeseries,LU-200611,True,True,2684,pandas
index_constituent_timeseries,LU-200611@S&P 500,True,True,2684,
last_quoted_date,LU-200611,True,True,,
first_quoted_date,LU-200611,True,True,,
classification_at_level,LU-200611,True,True,,GICS L1
security_name,LU-200611,True,True,,
price_timeseries,LUB-202205,True,True,8166,pandas
index_constituent_timeseries,LUB-202205@S&P 500,True,True,8166,
last_quoted_date,LUB-202205,True,True,,
first_quoted_date,LUB-202205,True,True,,
classification_at_level,LUB-202205,True,True,,GICS L1
security_name,LUB-202205,True,True,,
price_timeseries,LULU,True,True,4756,pandas
index_constituent_timeseries,LULU@S&P 500,True,True,4756,
last_quoted_date,LULU,True,True,,
first_quoted_date,LULU,True,True,,
classification_at_level,LULU,True,True,,GICS L1
security_name,LULU,True,True,,
price_timeseries,LUMN,True,True,9185,pandas
index_constituent_timeseries,LUMN@S&P 500,True,True,9185,
last_quoted_date,LUMN,True,True,,
first_quoted_date,LUMN,True,True,,
classification_at_level,LUMN,True,True,,GICS L1
security_name,LUMN,True,True,,
price_timeseries,LUV,True,True,9185,pandas
index_constituent_timeseries,LUV@S&P 500,True,True,9185,
last_quoted_date,LUV,True,True,,
first_quoted_date,LUV,True,True,,
classification_at_level,LUV,True,True,,GICS L1
security_name,LUV,True,True,,
price_timeseries,LVI-198508,True,True,0,empty
price_timeseries,LVLT-201710,True,True,4930,pandas
index_constituent_timeseries,LVLT-201710@S&P 500,True,True,4930,
last_quoted_date,LVLT-201710,True,True,,
first_quoted_date,LVLT-201710,True,True,,
classification_at_level,LVLT-201710,True,True,,GICS L1
security_name,LVLT-201710,True,True,,
price_timeseries,LVS,True,True,5413,pandas
index_constituent_timeseries,LVS@S&P 500,True,True,5413,
last_quoted_date,LVS,True,True,,
first_quoted_date,LVS,True,True,,
classification_at_level,LVS,True,True,,GICS L1
security_name,LVS,True,True,,
price_timeseries,LW,True,True,2421,pandas
index_constituent_timeseries,LW@S&P 500,True,True,2421,
last_quoted_date,LW,True,True,,
first_quoted_date,LW,True,True,,
classification_at_level,LW,True,True,,GICS L1
security_name,LW,True,True,,
price_timeseries,LXK-201611,True,True,5296,pandas
index_constituent_timeseries,LXK-201611@S&P 500,True,True,5296,
last_quoted_date,LXK-201611,True,True,,
first_quoted_date,LXK-201611,True,True,,
classification_at_level,LXK-201611,True,True,,GICS L1
security_name,LXK-201611,True,True,,
price_timeseries,LY-197812,True,True,0,empty
price_timeseries,LYB,True,True,4063,pandas
index_constituent_timeseries,LYB@S&P 500,True,True,4063,
last_quoted_date,LYB,True,True,,
first_quoted_date,LYB,True,True,,
classification_at_level,LYB,True,True,,GICS L1
security_name,LYB,True,True,,
price_timeseries,LYV,True,True,5161,pandas
index_constituent_timeseries,LYV@S&P 500,True,True,5161,
last_quoted_date,LYV,True,True,,
first_quoted_date,LYV,True,True,,
classification_at_level,LYV,True,True,,GICS L1
security_name,LYV,True,True,,
price_timeseries,M,True,True,8655,pandas
index_constituent_timeseries,M@S&P 500,True,True,8655,
last_quoted_date,M,True,True,,
first_quoted_date,M,True,True,,
classification_at_level,M,True,True,,GICS L1
security_name,M,True,True,,
price_timeseries,M-197607,True,True,0,empty
price_timeseries,MA,True,True,5050,pandas
index_constituent_timeseries,MA@S&P 500,True,True,5050,
last_quoted_date,MA,True,True,,
first_quoted_date,MA,True,True,,
classification_at_level,MA,True,True,,GICS L1
security_name,MA,True,True,,
price_timeseries,MAA,True,True,8153,pandas
index_constituent_timeseries,MAA@S&P 500,True,True,8153,
last_quoted_date,MAA,True,True,,
first_quoted_date,MAA,True,True,,
classification_at_level,MAA,True,True,,GICS L1
security_name,MAA,True,True,,
price_timeseries,MAC,True,True,8125,pandas
index_constituent_timeseries,MAC@S&P 500,True,True,8125,
last_quoted_date,MAC,True,True,,
first_quoted_date,MAC,True,True,,
classification_at_level,MAC,True,True,,GICS L1
security_name,MAC,True,True,,
price_timeseries,MAE-197707,True,True,0,empty
price_timeseries,MAG-197507,True,True,0,empty
price_timeseries,MAI-199506,True,True,1391,pandas
index_constituent_timeseries,MAI-199506@S&P 500,True,True,1391,
last_quoted_date,MAI-199506,True,True,,
first_quoted_date,MAI-199506,True,True,,
classification_at_level,MAI-199506,True,True,,GICS L1
security_name,MAI-199506,True,True,,
price_timeseries,MAK.A-198101,True,True,0,empty
price_timeseries,MAR,True,True,7107,pandas
index_constituent_timeseries,MAR@S&P 500,True,True,7107,
last_quoted_date,MAR,True,True,,
first_quoted_date,MAR,True,True,,
classification_at_level,MAR,True,True,,GICS L1
security_name,MAR,True,True,,
price_timeseries,MAS,True,True,9185,pandas
index_constituent_timeseries,MAS@S&P 500,True,True,9185,
last_quoted_date,MAS,True,True,,
first_quoted_date,MAS,True,True,,
classification_at_level,MAS,True,True,,GICS L1
security_name,MAS,True,True,,
price_timeseries,MAT,True,True,9185,pandas
index_constituent_timeseries,MAT@S&P 500,True,True,9185,
last_quoted_date,MAT,True,True,,
first_quoted_date,MAT,True,True,,
classification_at_level,MAT,True,True,,GICS L1
security_name,MAT,True,True,,
price_timeseries,MAY-200508,True,True,3950,pandas
index_constituent_timeseries,MAY-200508@S&P 500,True,True,3950,
last_quoted_date,MAY-200508,True,True,,
first_quoted_date,MAY-200508,True,True,,
classification_at_level,MAY-200508,True,True,,GICS L1
security_name,MAY-200508,True,True,,
price_timeseries,MAYS,True,True,2852,pandas
index_constituent_timeseries,MAYS@S&P 500,True,True,2852,
last_quoted_date,MAYS,True,True,,
first_quoted_date,MAYS,True,True,,
classification_at_level,MAYS,True,True,,GICS L1
security_name,MAYS,True,True,,
price_timeseries,MB-198409,True,True,0,empty
price_timeseries,MBI,True,True,9185,pandas
index_constituent_timeseries,MBI@S&P 500,True,True,9185,
last_quoted_date,MBI,True,True,,
first_quoted_date,MBI,True,True,,
classification_at_level,MBI,True,True,,GICS L1
security_name,MBI,True,True,,
price_timeseries,MCA-199101,True,True,255,pandas
index_constituent_timeseries,MCA-199101@S&P 500,True,True,255,
last_quoted_date,MCA-199101,True,True,,
first_quoted_date,MCA-199101,True,True,,
classification_at_level,MCA-199101,True,True,,GICS L1
security_name,MCA-199101,True,True,,
price_timeseries,MCAWA-199409,True,True,1193,pandas
index_constituent_timeseries,MCAWA-199409@S&P 500,True,True,1193,
last_quoted_date,MCAWA-199409,True,True,,
first_quoted_date,MCAWA-199409,True,True,,
classification_at_level,MCAWA-199409,True,True,,GICS L1
security_name,MCAWA-199409,True,True,,
price_timeseries,MCD,True,True,9185,pandas
index_constituent_timeseries,MCD@S&P 500,True,True,9185,
last_quoted_date,MCD,True,True,,
first_quoted_date,MCD,True,True,,
classification_at_level,MCD,True,True,,GICS L1
security_name,MCD,True,True,,
price_timeseries,MCHP,True,True,8372,pandas
index_constituent_timeseries,MCHP@S&P 500,True,True,8372,
last_quoted_date,MCHP,True,True,,
first_quoted_date,MCHP,True,True,,
classification_at_level,MCHP,True,True,,GICS L1
security_name,MCHP,True,True,,
price_timeseries,MCIC-199809,True,True,2200,pandas
index_constituent_timeseries,MCIC-199809@S&P 500,True,True,2200,
last_quoted_date,MCIC-199809,True,True,,
first_quoted_date,MCIC-199809,True,True,,
classification_at_level,MCIC-199809,True,True,,GICS L1
security_name,MCIC-199809,True,True,,
price_timeseries,MCK,True,True,7955,pandas
index_constituent_timeseries,MCK@S&P 500,True,True,7955,
last_quoted_date,MCK,True,True,,
first_quoted_date,MCK,True,True,,
classification_at_level,MCK,True,True,,GICS L1
security_name,MCK,True,True,,
price_timeseries,MCK-196707,True,True,0,empty
price_timeseries,MCK-199411,True,True,1244,pandas
index_constituent_timeseries,MCK-199411@S&P 500,True,True,1244,
last_quoted_date,MCK-199411,True,True,,
first_quoted_date,MCK-199411,True,True,,
classification_at_level,MCK-199411,True,True,,GICS L1
security_name,MCK-199411,True,True,,
price_timeseries,MCO,True,True,9185,pandas
index_constituent_timeseries,MCO@S&P 500,True,True,9185,
last_quoted_date,MCO,True,True,,
first_quoted_date,MCO,True,True,,
classification_at_level,MCO,True,True,,GICS L1
security_name,MCO,True,True,,
price_timeseries,MD-199707,True,True,1918,pandas
index_constituent_timeseries,MD-199707@S&P 500,True,True,1918,
last_quoted_date,MD-199707,True,True,,
first_quoted_date,MD-199707,True,True,,
classification_at_level,MD-199707,True,True,,GICS L1
security_name,MD-199707,True,True,,
price_timeseries,MDC-198308,True,True,0,empty
price_timeseries,MDE-198303,True,True,0,empty
price_timeseries,MDLZ,True,True,6293,pandas
index_constituent_timeseries,MDLZ@S&P 500,True,True,6293,
last_quoted_date,MDLZ,True,True,,
first_quoted_date,MDLZ,True,True,,
classification_at_level,MDLZ,True,True,,GICS L1
security_name,MDLZ,True,True,,
price_timeseries,MDP-202112,True,True,8043,pandas
index_constituent_timeseries,MDP-202112@S&P 500,True,True,8043,
last_quoted_date,MDP-202112,True,True,,
first_quoted_date,MDP-202112,True,True,,
classification_at_level,MDP-202112,True,True,,GICS L1
security_name,MDP-202112,True,True,,
price_timeseries,MDRIQ-202006,True,True,7681,pandas
index_constituent_timeseries,MDRIQ-202006@S&P 500,True,True,7681,
last_quoted_date,MDRIQ-202006,True,True,,
first_quoted_date,MDRIQ-202006,True,True,,
classification_at_level,MDRIQ-202006,True,True,,GICS L1
security_name,MDRIQ-202006,True,True,,
price_timeseries,MDT,True,True,9185,pandas
index_constituent_timeseries,MDT@S&P 500,True,True,9185,
last_quoted_date,MDT,True,True,,
first_quoted_date,MDT,True,True,,
classification_at_level,MDT,True,True,,GICS L1
security_name,MDT,True,True,,
price_timeseries,MEA-200201,True,True,3047,pandas
index_constituent_timeseries,MEA-200201@S&P 500,True,True,3047,
last_quoted_date,MEA-200201,True,True,,
first_quoted_date,MEA-200201,True,True,,
classification_at_level,MEA-200201,True,True,,GICS L1
security_name,MEA-200201,True,True,,
price_timeseries,MEDI-200706,True,True,4060,pandas
index_constituent_timeseries,MEDI-200706@S&P 500,True,True,4060,
last_quoted_date,MEDI-200706,True,True,,
first_quoted_date,MEDI-200706,True,True,,
classification_at_level,MEDI-200706,True,True,,GICS L1
security_name,MEDI-200706,True,True,,
price_timeseries,MEE-201106,True,True,5399,pandas
index_constituent_timeseries,MEE-201106@S&P 500,True,True,5399,
last_quoted_date,MEE-201106,True,True,,
first_quoted_date,MEE-201106,True,True,,
classification_at_level,MEE-201106,True,True,,GICS L1
security_name,MEE-201106,True,True,,
price_timeseries,MEI-199302,True,True,795,pandas
index_constituent_timeseries,MEI-199302@S&P 500,True,True,795,
last_quoted_date,MEI-199302,True,True,,
first_quoted_date,MEI-199302,True,True,,
classification_at_level,MEI-199302,True,True,,GICS L1
security_name,MEI-199302,True,True,,
price_timeseries,MEL-200706,True,True,4411,pandas
index_constituent_timeseries,MEL-200706@S&P 500,True,True,4411,
last_quoted_date,MEL-200706,True,True,,
first_quoted_date,MEL-200706,True,True,,
classification_at_level,MEL-200706,True,True,,GICS L1
security_name,MEL-200706,True,True,,
price_timeseries,MER-200812,True,True,4791,pandas
index_constituent_timeseries,MER-200812@S&P 500,True,True,4791,
last_quoted_date,MER-200812,True,True,,
first_quoted_date,MER-200812,True,True,,
classification_at_level,MER-200812,True,True,,GICS L1
security_name,MER-200812,True,True,,
price_timeseries,MERQ-200611,True,True,3282,pandas
index_constituent_timeseries,MERQ-200611@S&P 500,True,True,3282,
last_quoted_date,MERQ-200611,True,True,,
first_quoted_date,MERQ-200611,True,True,,
classification_at_level,MERQ-200611,True,True,,GICS L1
security_name,MERQ-200611,True,True,,
price_timeseries,MET,True,True,6592,pandas
index_constituent_timeseries,MET@S&P 500,True,True,6592,
last_quoted_date,MET,True,True,,
first_quoted_date,MET,True,True,,
classification_at_level,MET,True,True,,GICS L1
security_name,MET,True,True,,
price_timeseries,MET-198406,True,True,0,empty
price_timeseries,META,True,True,3543,pandas
index_constituent_timeseries,META@S&P 500,True,True,3543,
last_quoted_date,META,True,True,,
first_quoted_date,META,True,True,,
classification_at_level,META,True,True,,GICS L1
security_name,META,True,True,,
price_timeseries,MF-198206,True,True,0,empty
price_timeseries,MFE-201102,True,True,4622,pandas
index_constituent_timeseries,MFE-201102@S&P 500,True,True,4622,
last_quoted_date,MFE-201102,True,True,,
first_quoted_date,MFE-201102,True,True,,
classification_at_level,MFE-201102,True,True,,GICS L1
security_name,MFE-201102,True,True,,
price_timeseries,MGM,True,True,9185,pandas
index_constituent_timeseries,MGM@S&P 500,True,True,9185,
last_quoted_date,MGM,True,True,,
first_quoted_date,MGM,True,True,,
classification_at_level,MGM,True,True,,GICS L1
security_name,MGM,True,True,,
price_timeseries,MGM-198603,True,True,0,empty
price_timeseries,MGR-198505,True,True,0,empty
price_timeseries,MHC-199112,True,True,506,pandas
index_constituent_timeseries,MHC-199112@S&P 500,True,True,506,
last_quoted_date,MHC-199112,True,True,,
first_quoted_date,MHC-199112,True,True,,
classification_at_level,MHC-199112,True,True,,GICS L1
security_name,MHC-199112,True,True,,
price_timeseries,MHK,True,True,8612,pandas
index_constituent_timeseries,MHK@S&P 500,True,True,8612,
last_quoted_date,MHK,True,True,,
first_quoted_date,MHK,True,True,,
classification_at_level,MHK,True,True,,GICS L1
security_name,MHK,True,True,,
price_timeseries,MHS-201203,True,True,2170,pandas
index_constituent_timeseries,MHS-201203@S&P 500,True,True,2170,
last_quoted_date,MHS-201203,True,True,,
first_quoted_date,MHS-201203,True,True,,
classification_at_level,MHS-201203,True,True,,GICS L1
security_name,MHS-201203,True,True,,
price_timeseries,MHT-198804,True,True,0,empty
price_timeseries,MI-201107,True,True,5422,pandas
index_constituent_timeseries,MI-201107@S&P 500,True,True,5422,
last_quoted_date,MI-201107,True,True,,
first_quoted_date,MI-201107,True,True,,
classification_at_level,MI-201107,True,True,,GICS L1
security_name,MI-201107,True,True,,
price_timeseries,MIA-196007,True,True,0,empty
price_timeseries,MII-199906,True,True,2393,pandas
index_constituent_timeseries,MII-199906@S&P 500,True,True,2393,
last_quoted_date,MII-199906,True,True,,
first_quoted_date,MII-199906,True,True,,
classification_at_level,MII-199906,True,True,,GICS L1
security_name,MII-199906,True,True,,
price_timeseries,MIL-201007,True,True,5176,pandas
index_constituent_timeseries,MIL-201007@S&P 500,True,True,5176,
last_quoted_date,MIL-201007,True,True,,
first_quoted_date,MIL-201007,True,True,,
classification_at_level,MIL-201007,True,True,,GICS L1
security_name,MIL-201007,True,True,,
price_timeseries,MIR-200005,True,True,2632,pandas
index_constituent_timeseries,MIR-200005@S&P 500,True,True,2632,
last_quoted_date,MIR-200005,True,True,,
first_quoted_date,MIR-200005,True,True,,
classification_at_level,MIR-200005,True,True,,GICS L1
security_name,MIR-200005,True,True,,
price_timeseries,MIR-201012,True,True,2559,pandas
index_constituent_timeseries,MIR-201012@S&P 500,True,True,2559,
last_quoted_date,MIR-201012,True,True,,
first_quoted_date,MIR-201012,True,True,,
classification_at_level,MIR-201012,True,True,,GICS L1
security_name,MIR-201012,True,True,,
price_timeseries,MIS-198212,True,True,0,empty
price_timeseries,MJN-201706,True,True,2100,pandas
index_constituent_timeseries,MJN-201706@S&P 500,True,True,2100,
last_quoted_date,MJN-201706,True,True,,
first_quoted_date,MJN-201706,True,True,,
classification_at_level,MJN-201706,True,True,,GICS L1
security_name,MJN-201706,True,True,,
price_timeseries,MKC,True,True,9185,pandas
index_constituent_timeseries,MKC@S&P 500,True,True,9185,
last_quoted_date,MKC,True,True,,
first_quoted_date,MKC,True,True,,
classification_at_level,MKC,True,True,,GICS L1
security_name,MKC,True,True,,
price_timeseries,MKC-199507,True,True,1402,pandas
index_constituent_timeseries,MKC-199507@S&P 500,True,True,1402,
last_quoted_date,MKC-199507,True,True,,
first_quoted_date,MKC-199507,True,True,,
classification_at_level,MKC-199507,True,True,,GICS L1
security_name,MKC-199507,True,True,,
price_timeseries,MKG-200010,True,True,2729,pandas
index_constituent_timeseries,MKG-200010@S&P 500,True,True,2729,
last_quoted_date,MKG-200010,True,True,,
first_quoted_date,MKG-200010,True,True,,
classification_at_level,MKG-200010,True,True,,GICS L1
security_name,MKG-200010,True,True,,
