endpoint_family,ticker,endpoint,priority,attempted,status,http_status,rows,first_date,last_date,has_point_in_time_dates,historical_depth_sufficient,usable_for_backtest,note,endpoint_redacted
fundamentals_statements,AMD,fundamentals,3_fmp_covered_crosscheck,True,OK,,163,1985-09-30,2026-05-06,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AMD.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AMD,fundamentals,3_fmp_covered_crosscheck,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AMD.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AMD,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AMD.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AMD,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AMD.US&<API_KEY_REDACTED>
earnings_history,AMZN,fundamentals,3_fmp_covered_crosscheck,True,OK,,117,1997-07-10,2026-07-30,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/AMZN.US?fmt=json&<API_KEY_REDACTED>
fundamentals_statements,AMZN,fundamentals,3_fmp_covered_crosscheck,True,OK,,122,1996-03-31,2026-04-30,True,True,True,quarterly income-statement rows present,https://eodhd.com/api/fundamentals/AMZN.US?fmt=json&<API_KEY_REDACTED>
analyst_estimates,AMZN,fundamentals,3_fmp_covered_crosscheck,True,OK,,40,2017-06-30,2027-12-31,False,True,False,analyst estimate trend present (no clean as-of history),https://eodhd.com/api/fundamentals/AMZN.US?fmt=json&<API_KEY_REDACTED>
analyst_ratings,AMZN,fundamentals,3_fmp_covered_crosscheck,True,OK,,1,,,False,False,False,current recommendation/price-target snapshot (not historical),https://eodhd.com/api/fundamentals/AMZN.US?fmt=json&<API_KEY_REDACTED>
earnings_calendar,AMZN,earnings_calendar,3_fmp_covered_crosscheck,True,EMPTY,,0,,,False,False,False,no earnings-calendar rows,https://eodhd.com/api/calendar/earnings?fmt=json&symbols=AMZN.US&<API_KEY_REDACTED>
earnings_history,JPM,fundamentals,3_fmp_covered_crosscheck,True,OK,,126,1995-10-16,2027-01-14,True,True,True,earnings history rows present,https://eodhd.com/api/fundamentals/JPM.US?fmt=json&<API_KEY_REDACTED>
