family,ticker,status,available_date,value,pit_ok
short_interest_days_to_cover,LOW,OK,2018-01-12,1.85,True
short_interest_days_to_cover,LOW,OK,2018-01-31,1.47,True
short_interest_days_to_cover,LOW,OK,2018-02-15,1.36,True
short_interest_days_to_cover,LOW,OK,2018-02-28,1.0,True
short_interest_days_to_cover,LOW,OK,2018-03-15,1.49,True
short_interest_days_to_cover,LOW,OK,2018-03-29,1.33,True
short_interest_days_to_cover,LOW,OK,2018-04-13,1.86,True
short_interest_days_to_cover,LOW,OK,2018-04-30,1.92,True
short_interest_days_to_cover,LOW,OK,2018-05-15,2.47,True
short_interest_days_to_cover,LRCX,OK,2017-12-29,5.33,True
short_interest_days_to_cover,LRCX,OK,2018-01-12,4.23,True
short_interest_days_to_cover,LRCX,OK,2018-01-31,2.32,True
short_interest_days_to_cover,LRCX,OK,2018-02-15,2.17,True
short_interest_days_to_cover,LRCX,OK,2018-02-28,3.65,True
short_interest_days_to_cover,LRCX,OK,2018-03-15,2.58,True
short_interest_days_to_cover,LRCX,OK,2018-03-29,2.68,True
short_interest_days_to_cover,LRCX,OK,2018-04-13,3.2,True
short_interest_days_to_cover,LRCX,OK,2018-04-30,2.52,True
short_interest_days_to_cover,LRCX,OK,2018-05-15,5.62,True
short_interest_days_to_cover,LSEGY,OK,2025-11-28,1.0,True
short_interest_days_to_cover,LSEGY,OK,2025-12-15,1.0,True
short_interest_days_to_cover,LSEGY,OK,2025-12-31,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-01-15,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-01-30,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-02-13,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-02-27,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-03-13,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-03-31,1.0,True
short_interest_days_to_cover,LSEGY,OK,2026-04-15,1.0,True
short_interest_days_to_cover,LULU,OK,2017-12-29,4.49,True
short_interest_days_to_cover,LULU,OK,2018-01-12,2.81,True
short_interest_days_to_cover,LULU,OK,2018-01-31,3.61,True
