endpoint,ticker,status,rows,requests_made
sentiments,CVX,CACHED,0,0
sentiments,CYATY,CACHED,0,0
sentiments,D,CACHED,0,0
sentiments,DAL,CACHED,0,0
sentiments,DASH,CACHED,0,0
sentiments,DB,CACHED,0,0
sentiments,DD,CACHED,0,0
sentiments,DDOG,CACHED,0,0
sentiments,DE,CACHED,0,0
sentiments,DECK,CACHED,0,0
sentiments,DELL,CACHED,0,0
sentiments,DG,CACHED,0,0
sentiments,DGX,CACHED,0,0
sentiments,DHI,CACHED,0,0
sentiments,DHR,CACHED,0,0
sentiments,DIS,CACHED,0,0
sentiments,DLR,CACHED,0,0
sentiments,DLTR,CACHED,0,0
sentiments,DOC,CACHED,0,0
sentiments,DOV,CACHED,0,0
sentiments,DOW,CACHED,0,0
sentiments,DPZ,CACHED,0,0
sentiments,DRI,CACHED,0,0
sentiments,DTE,CACHED,0,0
sentiments,DTEGY,CACHED,0,0
sentiments,DUK,CACHED,0,0
sentiments,DVA,CACHED,0,0
sentiments,DVN,CACHED,0,0
sentiments,DXCM,CACHED,0,0
sentiments,E,CACHED,0,0
sentiments,EA,CACHED,0,0
sentiments,EBAY,CACHED,0,0
sentiments,ECL,CACHED,0,0
sentiments,ED,CACHED,0,0
sentiments,EFX,CACHED,0,0
sentiments,EG,CACHED,0,0
sentiments,EIX,CACHED,0,0
sentiments,EL,CACHED,0,0
sentiments,ELV,CACHED,0,0
sentiments,EME,CACHED,0,0
sentiments,EMR,CACHED,0,0
sentiments,ENB,CACHED,0,0
sentiments,EOG,CACHED,0,0
sentiments,EPD,CACHED,0,0
