name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
f_x_value_sn,scenario,0.0155,-0.0352,False,120
f_x_mom_raw,scenario,-0.0053,0.0229,False,119
f_x_mom_sn,scenario,-0.0115,0.0333,False,119
orthogonal_blend__ic_weighted,model,-0.0084,0.0131,False,96
orthogonal_blend__equal,model,0.0091,0.0105,True,96
f_level_raw,scenario,0.0175,-0.0125,False,120
f_level_sn,scenario,0.0014,-0.0028,False,120
f_chg1_raw,scenario,0.0131,-0.0057,False,120
f_chg1_sn,scenario,0.027,-0.0011,False,120
f_accel_raw,scenario,0.0073,-0.0186,False,120
f_accel_sn,scenario,0.0079,-0.0149,False,120
f_lag1_raw,scenario,-0.0038,-0.0086,False,120
f_lag1_sn,scenario,-0.0204,0.0007,False,120
f_rmean_5_raw,scenario,-0.0101,-0.0289,False,120
f_rmean_5_sn,scenario,-0.0133,-0.0144,False,120
f_rstd_5_raw,scenario,0.0014,0.0253,True,120
f_rstd_5_sn,scenario,0.002,0.0244,True,120
f_rchg_5_raw,scenario,0.0062,0.0067,True,120
f_rchg_5_sn,scenario,0.0087,0.011,True,120
f_rmean_21_raw,scenario,-0.0149,-0.006,False,120
f_rmean_21_sn,scenario,-0.0168,0.0068,False,120
f_rstd_21_raw,scenario,0.001,0.0125,True,120
f_rstd_21_sn,scenario,-0.0026,0.0088,False,120
f_rchg_21_raw,scenario,0.0043,-0.0046,False,120
f_rchg_21_sn,scenario,0.0121,-0.0012,False,120
f_rmean_63_raw,scenario,-0.0235,0.0084,False,120
f_rmean_63_sn,scenario,-0.0241,0.0234,False,120
f_rstd_63_raw,scenario,0.0125,-0.0074,False,120
f_rstd_63_sn,scenario,0.0154,-0.0064,False,120
f_rchg_63_raw,scenario,0.0069,-0.0124,False,120
f_rchg_63_sn,scenario,0.0083,-0.0083,False,120
f_z_raw,scenario,0.0175,-0.0125,False,120
f_z_sn,scenario,0.0014,-0.0028,False,120
f_sector_z_raw,scenario,0.0177,0.0041,True,120
f_sector_z_sn,scenario,0.0177,0.004,True,120
f_rank_raw,scenario,0.0175,-0.0125,False,120
f_rank_sn,scenario,0.0143,0.0001,True,120
f_winz_raw,scenario,0.0175,-0.0124,False,120
f_winz_sn,scenario,0.0016,-0.0025,False,120
f_x_surprise_raw,scenario,0.0159,-0.017,False,120
f_x_surprise_sn,scenario,0.0137,-0.0249,False,120
f_x_quality_raw,scenario,0.011,-0.0026,False,120
f_x_quality_sn,scenario,0.0126,0.0081,True,120
f_x_value_raw,scenario,-0.0237,0.0063,False,120
f_x_value_sn,scenario,-0.0271,-0.0052,False,120
f_x_mom_raw,scenario,-0.0092,-0.0166,False,119
f_x_mom_sn,scenario,-0.017,-0.0082,False,119
orthogonal_blend__ic_weighted,model,-0.0011,-0.0015,False,96
orthogonal_blend__equal,model,0.0219,-0.011,False,96
