name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_rchg_63_sn,scenario,orthogonal,0.0358,1.98,-0.0023,-0.11,False,True
f_z_raw,scenario,orthogonal,0.0386,2.26,-0.015,-0.75,False,True
f_z_sn,scenario,orthogonal,0.0546,3.07,-0.0163,-0.81,False,True
f_sector_z_raw,scenario,orthogonal,0.0396,2.27,-0.0157,-0.78,False,True
f_sector_z_sn,scenario,orthogonal,0.0443,2.64,-0.0163,-0.81,False,True
f_rank_raw,scenario,orthogonal,0.0386,2.26,-0.015,-0.75,False,True
f_rank_sn,scenario,orthogonal,0.044,2.86,-0.0169,-0.85,False,True
f_winz_raw,scenario,orthogonal,0.0386,2.26,-0.015,-0.75,False,True
f_winz_sn,scenario,orthogonal,0.0537,3.15,-0.017,-0.85,False,True
f_x_surprise_raw,scenario,orthogonal,0.0028,0.16,-0.0203,-1.04,False,True
f_x_surprise_sn,scenario,orthogonal,0.006,0.34,-0.0205,-1.05,False,True
f_x_quality_raw,scenario,orthogonal,-0.0075,-0.5,0.0064,0.42,False,False
f_x_quality_sn,scenario,orthogonal,0.0049,0.35,0.0041,0.27,True,False
f_x_value_raw,scenario,orthogonal,0.0146,0.85,0.0147,0.93,True,False
f_x_value_sn,scenario,orthogonal,0.0111,0.64,0.0126,0.8,True,False
f_x_mom_raw,scenario,orthogonal,-0.0096,-0.61,-0.0118,-0.64,False,False
f_x_mom_sn,scenario,orthogonal,0.005,0.29,-0.0115,-0.63,False,True
orthogonal_blend__ic_weighted,model,model,0.0172,1.02,-0.0402,-1.83,False,True
orthogonal_blend__equal,model,model,0.0305,1.58,-0.0409,-1.75,False,True
f_level_raw,scenario,orthogonal,0.0017,0.08,0.0068,0.32,True,False
f_level_sn,scenario,orthogonal,0.0381,1.94,0.0063,0.3,True,False
f_chg1_raw,scenario,orthogonal,0.0344,2.24,0.0013,0.07,True,False
f_chg1_sn,scenario,orthogonal,0.0458,3.27,0.0019,0.1,True,False
f_accel_raw,scenario,orthogonal,0.0625,3.34,0.006,0.29,True,False
f_accel_sn,scenario,orthogonal,0.0654,3.81,0.0054,0.26,True,False
f_lag1_raw,scenario,orthogonal,-0.0347,-1.76,0.011,0.55,False,False
f_lag1_sn,scenario,orthogonal,-0.0169,-0.88,0.0105,0.53,False,False
f_rmean_5_raw,scenario,orthogonal,-0.0137,-0.69,-0.0038,-0.2,False,False
f_rmean_5_sn,scenario,orthogonal,0.0136,0.66,-0.0059,-0.31,False,True
f_rstd_5_raw,scenario,orthogonal,-0.021,-1.07,-0.0025,-0.12,False,False
f_rstd_5_sn,scenario,orthogonal,0.0017,0.11,-0.0033,-0.15,False,True
f_rchg_5_raw,scenario,orthogonal,-0.0027,-0.15,0.0098,0.49,False,False
f_rchg_5_sn,scenario,orthogonal,0.0128,0.81,0.0099,0.49,True,False
