candidate,neutralization,horizon,slice,n_months,mean_ic,ic_t,net25,gross_spread,long_only,maxdd
lowvol_12m,raw,fwd_1m,pre2020,348,0.04351,4.55,0.00319,0.00392,0.01038,-1.40478
lowvol_12m,raw,fwd_1m,post2020,77,0.0511,2.397,-0.00925,-0.0085,0.00602,-1.12897
lowvol_12m,raw,fwd_3m,full,423,0.0686,7.605,0.00479,0.00552,0.02792,-4.09426
lowvol_12m,raw,fwd_3m,dev,318,0.06773,6.383,0.01009,0.01081,0.03123,-4.09426
lowvol_12m,raw,fwd_3m,val,48,0.03514,1.378,-0.03509,-0.03435,0.02177,-3.07221
lowvol_12m,raw,fwd_3m,holdout,57,0.10163,4.554,0.00885,0.00958,0.01463,-1.83209
lowvol_12m,raw,fwd_3m,pre2020,348,0.06974,7.016,0.01144,0.01216,0.02942,-4.09426
lowvol_12m,raw,fwd_3m,post2020,75,0.06333,2.932,-0.02604,-0.02529,0.02095,-2.81061
lowvol_12m,raw,fwd_6m,full,420,0.10027,11.397,0.01197,0.01269,0.05596,-7.99135
lowvol_12m,raw,fwd_6m,dev,318,0.10009,9.628,0.02014,0.02086,0.06286,-7.99135
lowvol_12m,raw,fwd_6m,val,48,0.06359,2.366,-0.05877,-0.05802,0.0449,-5.65418
lowvol_12m,raw,fwd_6m,holdout,54,0.13393,7.262,0.02669,0.02742,0.02514,-2.81846
lowvol_12m,raw,fwd_6m,pre2020,348,0.10246,10.535,0.02202,0.02274,0.05816,-7.99135
lowvol_12m,raw,fwd_6m,post2020,72,0.08965,4.333,-0.03665,-0.0359,0.04532,-4.98253
lowvol_12m,sector_neutral,fwd_1m,full,425,0.02282,5.112,0.00509,0.00595,0.01146,-1.01583
lowvol_12m,sector_neutral,fwd_1m,dev,318,0.02747,5.536,0.00619,0.00702,0.01223,-1.01583
lowvol_12m,sector_neutral,fwd_1m,val,48,0.01274,0.913,-0.00495,-0.0041,0.01113,-0.53701
lowvol_12m,sector_neutral,fwd_1m,holdout,59,0.00598,0.436,0.00732,0.00832,0.00761,-0.42386
lowvol_12m,sector_neutral,fwd_1m,pre2020,348,0.02568,5.42,0.00584,0.00668,0.01182,-1.01583
lowvol_12m,sector_neutral,fwd_1m,post2020,77,0.00991,0.815,0.00166,0.00263,0.00985,-0.53701
lowvol_12m,sector_neutral,fwd_3m,full,423,0.03469,7.387,0.01985,0.02071,0.03562,-3.02607
lowvol_12m,sector_neutral,fwd_3m,dev,318,0.04247,8.152,0.02362,0.02446,0.03787,-3.02607
lowvol_12m,sector_neutral,fwd_3m,val,48,0.01911,1.253,-0.00264,-0.00178,0.03802,-1.00302
lowvol_12m,sector_neutral,fwd_3m,holdout,57,0.00437,0.321,0.01774,0.01876,0.02102,-0.99413
lowvol_12m,sector_neutral,fwd_3m,pre2020,348,0.04032,8.123,0.02275,0.02358,0.0355,-3.02607
lowvol_12m,sector_neutral,fwd_3m,post2020,75,0.00852,0.67,0.0064,0.00738,0.03617,-1.00302
lowvol_12m,sector_neutral,fwd_6m,full,420,0.04861,10.302,0.03964,0.04049,0.07191,-5.24732
lowvol_12m,sector_neutral,fwd_6m,dev,318,0.06152,12.011,0.04861,0.04944,0.07935,-5.24732
lowvol_12m,sector_neutral,fwd_6m,val,48,0.01452,0.867,-0.01072,-0.00987,0.06416,-1.74432
lowvol_12m,sector_neutral,fwd_6m,holdout,54,0.0029,0.24,0.03159,0.03257,0.03497,-1.38718
lowvol_12m,sector_neutral,fwd_6m,pre2020,348,0.0583,11.846,0.04596,0.0468,0.07225,-5.24732
lowvol_12m,sector_neutral,fwd_6m,post2020,72,0.00179,0.142,0.00908,0.01003,0.07027,-1.74432
liquidity,raw,fwd_1m,full,425,0.02972,5.421,0.00092,0.00126,0.0096,-1.03802
liquidity,raw,fwd_1m,dev,318,0.02453,3.998,-0.00101,-0.00066,0.00926,-1.03802
liquidity,raw,fwd_1m,val,48,0.04586,2.582,0.00642,0.00673,0.01419,-0.22818
liquidity,raw,fwd_1m,holdout,59,0.04454,2.784,0.00681,0.00713,0.00771,-0.21067
liquidity,raw,fwd_1m,pre2020,348,0.02691,4.562,7e-05,0.00042,0.00937,-1.03802
liquidity,raw,fwd_1m,post2020,77,0.04242,2.963,0.00473,0.00505,0.01063,-0.22818
liquidity,raw,fwd_3m,full,423,0.03978,8.063,0.00382,0.00416,0.02812,-2.99441
liquidity,raw,fwd_3m,dev,318,0.03159,5.863,-0.00146,-0.00111,0.02707,-2.99441
liquidity,raw,fwd_3m,val,48,0.06773,3.918,0.0193,0.01961,0.04098,-0.63148
liquidity,raw,fwd_3m,holdout,57,0.06189,4.314,0.02027,0.02059,0.02314,-0.63119
liquidity,raw,fwd_3m,pre2020,348,0.03646,6.925,0.00173,0.00208,0.02643,-2.99441
liquidity,raw,fwd_3m,post2020,75,0.05517,4.161,0.01352,0.01384,0.03593,-0.63148
liquidity,raw,fwd_6m,full,420,0.05235,11.073,0.00592,0.00627,0.05701,-6.77035
liquidity,raw,fwd_6m,dev,318,0.04041,7.866,-0.0069,-0.00655,0.05559,-6.77035
liquidity,raw,fwd_6m,val,48,0.09262,5.527,0.03771,0.03802,0.07938,-1.19487
liquidity,raw,fwd_6m,holdout,54,0.08686,6.912,0.0532,0.05352,0.04548,-0.94636
liquidity,raw,fwd_6m,pre2020,348,0.04802,9.449,0.00039,0.00073,0.05366,-6.77035
liquidity,raw,fwd_6m,post2020,72,0.07327,5.943,0.03267,0.03301,0.0732,-1.19487
liquidity,sector_neutral,fwd_1m,full,425,-0.00966,-1.858,-0.00097,-0.00023,0.00966,-1.42249
liquidity,sector_neutral,fwd_1m,dev,318,-0.00778,-1.346,-0.00185,-0.00111,0.00919,-1.42249
liquidity,sector_neutral,fwd_1m,val,48,-0.00388,-0.212,-0.00161,-0.00124,0.00969,-0.37769
liquidity,sector_neutral,fwd_1m,holdout,59,-0.02446,-1.681,0.00428,0.00533,0.01221,-0.29203
liquidity,sector_neutral,fwd_1m,pre2020,348,-0.00832,-1.493,-0.00199,-0.00129,0.00892,-1.42249
liquidity,sector_neutral,fwd_1m,post2020,77,-0.01573,-1.136,0.00365,0.00456,0.01304,-0.35856
liquidity,sector_neutral,fwd_3m,full,423,-0.01239,-2.237,-0.00221,-0.00147,0.02674,-3.96165
liquidity,sector_neutral,fwd_3m,dev,318,-0.00925,-1.511,-0.00371,-0.00297,0.02501,-3.96165
liquidity,sector_neutral,fwd_3m,val,48,-0.00204,-0.096,0.00361,0.00397,0.03678,-0.85195
liquidity,sector_neutral,fwd_3m,holdout,57,-0.03863,-2.759,0.00132,0.00235,0.02794,-0.89528
liquidity,sector_neutral,fwd_3m,pre2020,348,-0.01018,-1.732,-0.00373,-0.00302,0.02389,-3.96165
liquidity,sector_neutral,fwd_3m,post2020,75,-0.02263,-1.483,0.00485,0.00575,0.03995,-0.89528
liquidity,sector_neutral,fwd_6m,full,420,-0.01669,-2.949,-0.00294,-0.0022,0.05464,-6.53648
liquidity,sector_neutral,fwd_6m,dev,318,-0.01132,-1.851,-0.00387,-0.00313,0.05522,-6.53648
liquidity,sector_neutral,fwd_6m,val,48,-0.01144,-0.466,0.00819,0.00855,0.07201,-1.28296
liquidity,sector_neutral,fwd_6m,holdout,54,-0.05294,-4.353,-0.00733,-0.0063,0.03581,-1.03417
liquidity,sector_neutral,fwd_6m,pre2020,348,-0.01197,-2.014,-0.00307,-0.00237,0.05199,-6.53648
liquidity,sector_neutral,fwd_6m,post2020,72,-0.03947,-2.455,-0.0023,-0.0014,0.06747,-1.8083
